index,spkid,IPA,AgeMonth,Register,time_start,duration(ms),F1,F2
0,AF,i,20,ADS,1.999973207740104,62.07578095420008,314.8413310077864,1777.7240405442462
1,AF,e,20,ADS,2.136802217871544,54.207019988174565,420.92252408788073,2084.9824359476893
2,AF,æ,20,ADS,2.822306836628014,74.31607579023903,326.73528804809456,1830.8207000549967
3,AF,i,20,ADS,3.0242290987596654,34.972270960112795,479.3475109755607,2237.8556806585525
4,AF,e,20,ADS,8.834217516623287,70.81884869422872,525.1649099487321,2175.914222764705
5,AF,u,20,ADS,12.45924581470233,89.17929094828558,370.0039780922062,724.7139126770778
6,AF,i,20,ADS,19.53247030960732,77.81330288625199,404.4453912095379,1801.7692867646392
7,AF,i,20,ADS,25.383912437254683,44.340436931641136,423.19702167897617,2285.387981767535
9,AF,a,20,ADS,28.37301182021075,124.43929074362714,888.6098916731903,1727.967391987186
10,AF,a,20,ADS,28.936487113486155,97.97806225216732,612.1520601855718,1299.186181588791
11,AF,e,20,ADS,31.16991831461829,43.62526859403104,485.61740474121655,2515.7027526496167
12,AF,i,20,ADS,31.37321694757716,63.64998204702843,431.5390217792972,2780.1111379918257
13,AF,e,20,ADS,32.503988874736606,45.770773606847115,863.6503627883421,2343.864483529453
14,AF,i,20,ADS,35.7106401922936,73.4800758915597,384.5356660990548,2727.998844041041
15,AF,e,20,ADS,35.960195167019656,76.25290894407044,547.335258488595,2334.387381431202
16,AF,a,20,ADS,36.92791390234623,48.524578418955855,1178.577969707551,2368.269605808863
17,AF,i,20,ADS,38.020255129542704,103.98123946918503,553.8568811234975,2304.1843867631283
18,AF,i,20,ADS,40.43487461733713,42.97891231392725,343.50786589777624,2235.795138230857
19,AF,a,20,ADS,40.5707434369102,45.751745366438,610.316624524657,1631.1029381540532
20,AF,o,20,ADS,40.76187230004897,31.88758010388426,449.0410821811527,979.0250131356416
21,AF,a,20,ADS,47.687673036630734,44.36532884018618,615.9802879039963,1788.4953526463503
23,AF,e,20,ADS,54.1789484388512,40.206079261416505,418.006681693066,1780.136288048116
24,AF,a,20,ADS,54.39515479231862,97.0491568379046,455.2802786823889,1869.0661886168884
25,AF,a,20,ADS,54.543501360628,127.55032041553704,582.4975626320005,1756.5620190299437
26,AF,i,20,ADS,75.48356927273241,149.73298483562303,452.0222991609361,2611.7059523321363
27,AF,a,20,ADS,76.48701335428291,38.819662735164684,535.5578017741009,2100.584769495523
28,AF,a,20,ADS,77.27245993839821,112.29973862673148,1020.5918463203793,1613.5195171200435
29,AF,u,20,ADS,78.96112675985026,187.166231044543,413.28761942295176,1158.5444405699309
30,AF,a,20,ADS,80.55543401353415,70.70724283904894,947.0545398228553,1670.1562950587027
31,AF,e,20,ADS,81.59639458527633,148.3465683093783,469.3722319932675,1960.303147411629
32,AF,i,20,ADS,81.99637575310112,44.36532884018618,380.2513803235265,1971.5452902526683
33,AF,a,20,ADS,82.53871434681552,58.229494102732815,476.3542914397618,1322.160013751185
34,AF,a,20,ADS,84.78048386449703,63.77516020776852,818.8403416128037,1868.1220847701968
35,AF,a,20,ADS,85.47576887929624,88.73065768037236,453.92108529441,1754.9056357324025
36,AF,i,20,ADS,86.58878723464855,80.41215852284722,518.6235448058626,2207.428118989012
37,AF,æ,20,ADS,86.78080592353498,76.25290894407044,689.1697550152211,2014.8714622112273
38,AF,e,20,ADS,87.0030430414136,84.57140810160979,663.4286239954533,1601.862034578151
39,AF,e,20,ADS,87.21031231208885,49.910994945207676,318.13294030366694,1681.4976190284074
40,AF,e,20,ADS,87.29765655324297,61.00232715526488,500.90524996921386,2047.3554905825968
41,AF,e,20,ADS,89.38536734854455,74.86649241781151,743.4816429584954,2187.0752521715062
42,AF,o,20,ADS,102.90223247460004,56.84307757647389,390.5063125545272,1618.0199591022752
43,AF,e,20,ADS,103.47274287515432,72.09365936529366,562.0243254000131,1447.2331320738747
46,AF,e,20,ADS,108.33114396602213,77.63932547031516,425.6434204958098,2018.3283507449667
47,AF,i,20,ADS,108.57861931595878,109.52690557422784,424.71295309526425,2423.8324815763835
48,AF,i,20,ADS,117.31003957985854,63.77516020778273,489.64427184672917,2457.979522554499
49,AF,a,20,ADS,120.60128765904253,54.07024452399867,866.6064539857812,1524.0085351135854
50,AF,e,20,ADS,121.8663984854872,61.00232715525067,362.5308632815296,2077.3795280031563
51,AF,a,20,ADS,123.016927584795,183.00698146578043,804.093865714769,1585.7297705784301
52,AF,i,20,ADS,137.90272403503494,69.32082631277581,496.9367987938923,2354.8582516594165
53,AF,a,20,ADS,141.90724466810428,48.52457841894875,819.702462286227,2059.018708362786
54,AF,a,20,ADS,142.17776237868978,76.25290894407044,609.510891215682,1478.7567106508284
55,AF,o,20,ADS,143.635465982546,113.68615515300462,507.03307138096363,1157.0957378627115
56,AF,a,20,ADS,144.2385571714673,49.910994945207676,758.5200876117684,1373.7403626168275
57,AF,e,20,ADS,145.44478691753756,88.73065768037236,362.58032622733447,2164.281311073779
58,AF,æ,20,ADS,160.7311802461191,77.63932547032937,736.744755319065,1680.0978537895353
59,AF,æ,20,ADS,161.31208877062028,55.45666105024338,614.8195604243152,1924.7218754333412
60,AF,a,20,ADS,166.78243488921885,83.18499157536507,807.4735005368871,1729.9169072556049
61,AF,e,20,ADS,178.47492798909678,47.138161892718244,395.17948175731414,2092.5840551929878
62,AF,a,20,ADS,179.33797227669106,92.88990725914914,776.2454966304235,1537.6986516893912
63,AF,a,20,ADS,179.58500415031295,67.9344097865453,1089.2541952888407,1524.9095347492066
64,AF,i,20,ADS,180.75784078001496,54.07024452392761,369.55140199436863,2275.173102154594
65,AF,a,20,ADS,181.15366269826097,38.81966273513626,735.9686679828458,1564.5090965157424
66,AF,a,20,ADS,181.24100693941512,52.68382799772553,760.4363191091894,1380.6002370304175
67,AF,a,20,ADS,181.71862743271024,76.25290894407044,592.5812045535286,2069.864242581115
68,AF,e,20,ADS,183.3707982019286,85.95782462788293,535.0689148107481,1908.4183412728532
69,AF,e,20,ADS,186.51696339039808,58.229494102732815,442.63446202525483,2000.1919560087106
70,AF,æ,20,ADS,187.4954132256028,90.11707420665971,722.2732638855789,2222.2269351128443
71,AF,a,20,ADS,187.6181110881764,149.7329848355946,734.0784958960671,1652.4896556694189
72,AF,a,20,ADS,188.2943192475392,41.592495787654116,751.1945788816416,1651.1499986151614
73,AF,a,20,ADS,190.23278502942927,135.86881957317587,846.5162828946733,1713.8968637028106
74,AF,e,20,ADS,190.6195952402548,55.456661050129696,439.0440885584525,2062.15884495487
75,AF,a,20,ADS,194.5516619816269,58.22949410276124,687.1063925876766,1823.136833087185
76,AF,e,20,ADS,195.7266973558564,45.751745366430896,417.04924303556095,2307.3979036584415
77,AF,o,20,ADS,196.19322651694148,119.2318212580119,489.53421022529153,672.7990724572836
78,AF,i,20,ADS,202.3903017541283,92.88990725914914,366.8078708189899,2482.4461061300117
79,AF,e,20,ADS,204.2339587456993,49.910994945179255,515.7296371820005,2042.3549216716399
80,AF,æ,20,ADS,207.0210004318772,74.86649241783994,674.4884756860812,2328.846081934034
81,AF,a,20,ADS,207.10349221518936,90.11707420663129,868.6226723047503,1879.154637040252
82,AF,i,20,ADS,207.72183398589948,112.29973862671727,333.50792226888115,2335.36736564532
83,AF,e,20,ADS,207.976735136128,210.7353119908737,875.3552087581746,1992.4088679117283
84,AF,i,20,ADS,209.8628859417068,113.6861551529762,444.414767485966,2013.470659706937
85,AF,o,20,ADS,211.05357949828465,61.00232715525067,583.900029827175,1560.5705209084379
87,AF,u,20,ADS,216.7206274025278,45.751745366430896,425.0710092150473,1881.5829923841773
88,AF,e,20,ADS,216.8668943460478,72.09365936532208,643.2530291225611,2271.6670097842803
89,AF,a,20,ADS,224.60531027433544,97.04915683786908,601.8042255298263,1914.1770808754675
90,AF,a,20,ADS,225.01014390000216,72.09365936532208,657.1809997587608,1778.3169770053269
91,AF,e,20,ADS,225.73454653497083,51.2974114714666,498.0095007319536,2024.379780097223
92,AF,a,20,ADS,231.8280452601299,63.77516020776852,411.18638904344357,1815.6567428547282
93,AF,a,20,ADS,232.0131318663851,87.34424115411343,627.1396713344319,1950.0719341359754
94,AF,a,20,ADS,237.48596233721457,66.5479932603148,509.5828176034772,1851.5297292493963
95,AF,a,20,ADS,237.90258050335447,256.487057357333,749.2009242118797,1484.6090647722617
96,AF,e,20,ADS,238.69068654702065,58.22949410276124,514.7120774809728,2473.3317534775683
97,AF,a,20,ADS,238.78080362122725,58.22949410276124,804.0318281069198,2145.8811175276305
98,AF,a,20,ADS,239.6490720914678,242.62289209477217,467.47145588984966,1601.9692560914168
99,AF,o,20,ADS,245.63096428626352,73.48007589155259,559.3042031591493,1182.6508800978481
100,AF,a,20,ADS,246.2902053444982,83.18499157542192,851.9186702877171,2120.528323473455
101,AF,e,20,ADS,255.859842137612,51.29741147143818,553.721447217979,2240.783565843626
102,AF,e,20,ADS,257.5185761377753,108.14048904791207,709.829976167501,2271.9213673413983
103,AF,e,20,ADS,258.001846352154,62.596853638467564,571.8051452705043,1977.6517031486524
104,AF,e,20,ADS,258.36103228743275,62.38874368153802,456.22841667450064,2142.403849097741
105,AF,i,20,ADS,259.327364606233,65.16157673405587,437.68483912920095,2240.7418907004794
106,AF,u,20,ADS,260.0622543553676,278.669721777419,428.85905387759664,1032.9846704457195
107,AF,i,20,ADS,264.2607570554929,131.70956999431382,315.1275260959964,2109.5362542120174
108,AF,e,20,ADS,264.61290685316186,323.03505061759097,701.1457046871827,2304.3557785280364
109,AF,i,20,ADS,266.04345621501807,137.2552360992927,496.0074296995313,2505.8012959785797
110,AF,i,20,ADS,273.3086046439554,90.11707420660287,489.87041646366487,2405.3155019363894
111,AF,e,20,ADS,282.8989931898532,54.0702445240413,508.238394267716,2141.882382152237
112,AF,æ,20,ADS,283.1436957067374,99.82198989041535,923.482596866262,1709.41974849281
113,AF,æ,20,ADS,285.52055471862803,97.0491568378975,677.9742206081927,2128.2309859488396
114,AF,o,20,ADS,287.1887525218812,113.68615515294778,459.1185769735283,1208.45425312607
115,AF,a,20,ADS,289.9637599356373,92.88990725912072,753.8893530604558,1668.4307395412434
116,AF,a,20,ADS,290.26322590530856,59.61591062902016,458.04665388388486,1687.0334533635614
117,AF,a,20,ADS,290.86102403319137,105.36765599545106,519.5395008476175,1864.5483329675496
118,AF,e,20,ADS,292.15749571944235,105.36765599545106,496.9260839027724,2308.504016688269
119,AF,a,20,ADS,292.8680341891485,90.11707420660287,875.2180718144883,1689.08119302326
120,AF,i,20,ADS,294.0473565520489,101.20840641673112,530.6776634189164,2279.9115780536763
121,AF,u,20,ADS,294.3447428969308,221.82664420097353,572.2826489344628,1197.5175015452323
122,AF,a,20,ADS,295.6747325655241,80.41215852284722,402.15781250815763,1063.3985781161532
123,AF,u,20,ADS,295.8376365073591,92.88990725912072,403.7317984114174,744.9214689179262
124,AF,a,20,ADS,296.9000420401487,98.43557336415643,603.2932602422653,1710.2078504203625
125,AF,a,20,ADS,297.6165811447472,123.39107083676026,791.0296588920058,1724.3835989757283
126,AF,æ,20,ADS,299.9218344686968,223.21306072717562,696.3054766507362,2458.516112532632
127,AF,a,20,ADS,301.4425009047594,159.43790051943552,433.0267773533866,1594.849577650825
128,AF,a,20,ADS,301.7142385439056,109.526905574171,815.3796737078793,1983.4255228967847
129,AF,u,20,ADS,302.7994037027585,212.1217285171042,303.95491467067285,819.2233012127571
130,AF,a,20,ADS,306.7999315742144,74.86649241781151,594.1807309275728,1576.494122509319
131,AN,i,22,ADS,0.8079800316819995,42.89624098810552,352.8729790747911,1910.889659939595
132,AN,e,22,ADS,1.242304471686567,69.70639160567148,535.7097145607885,1630.4615148425376
133,AN,e,22,ADS,1.4809148121829032,64.34436148215816,266.4595361329626,1716.8579729021421
134,AN,e,22,ADS,1.836149307865652,67.0253765439146,441.1207401898038,1442.0469877947621
135,AN,æ,22,ADS,2.231599029474748,166.22293382890828,503.00706245247034,1703.0387047510474
136,AN,e,22,ADS,3.1224168595294515,107.24060247026345,433.7234355467474,2262.6890097869964
137,AN,o,22,ADS,4.23656535625806,107.2406024702639,406.3440406241395,1432.2212909514024
138,AN,u,22,ADS,5.258795717837133,107.2406024702639,395.3385960806075,1240.3659306548939
139,AN,a,22,ADS,12.573332931833075,67.0253765439135,457.30172484701507,1386.4013073152778
140,AN,a,22,ADS,17.071337891090423,67.0253765439135,501.2894972629325,1946.0889601825186
141,AN,a,22,ADS,19.534326486111222,72.38740666742771,701.2672903933728,1446.4960154948267
142,AN,u,22,ADS,21.09915404671635,45.57725604986018,415.88321301274544,1943.6638082378145
144,AN,o,22,ADS,22.902570959090603,109.92161753202012,578.6351278665182,1440.047957243746
145,AN,a,22,ADS,24.305773992940523,61.663346420395726,496.96903073318936,1865.5831629753438
146,AN,e,22,ADS,27.075904562374,50.9392861733744,439.0618504304655,1830.124093416458
147,AN,a,22,ADS,29.116385740393937,58.98233135864217,434.85113818718276,1797.7401170873115
148,AN,i,22,ADS,34.910208369916624,109.92161753202367,501.7109487572683,2018.3611059671364
149,AN,a,22,ADS,37.28849744571788,53.62030123513506,679.1432943832463,1696.36150276226
150,AN,i,22,ADS,39.37251471538865,80.43045185270614,497.81114296644165,2327.4874845177856
151,AN,a,22,ADS,40.87138887347932,83.1114669144597,916.0565769521526,1187.4675402144426
152,AN,æ,22,ADS,41.134128349531466,61.66334642040283,735.6880991953017,1256.3727343846194
153,AN,o,22,ADS,41.89293956691744,61.663346420395726,488.6097285065432,1158.2221588164625
156,AN,e,22,ADS,47.99446006660665,72.38740666742416,632.8375191725702,1838.99381072572
158,AN,u,22,ADS,48.72264517810221,53.62030123513506,458.21535442294197,814.5170603604797
159,AN,e,22,ADS,48.88484658933848,83.11146691445259,558.8977942926088,1188.533007858084
160,AN,a,22,ADS,49.05911256835266,88.47349703796681,816.8960188447122,1659.3860719489521
161,AN,e,22,ADS,49.28029631094758,64.34436148215639,401.239033150424,1587.2666866176046
162,AN,i,22,ADS,49.38753691341784,75.06842172919193,438.96721742010544,1564.7761967786894
163,AN,e,22,ADS,49.65429791206262,131.36973802607343,722.6203627012599,2205.6135461783024
164,AN,a,22,ADS,50.33500936422358,58.98233135864217,552.6597778726909,1300.2238576653199
165,AN,i,22,ADS,54.17337967465273,58.982331358649276,497.57521712812166,2381.2157304919165
166,AN,a,22,ADS,55.01064098569781,80.43045185268483,514.3792864369141,1149.8968857377386
167,AN,i,22,ADS,55.30363525047908,58.982331358649276,538.0175660990919,2179.626477974262
168,AN,e,22,ADS,56.65175370317591,75.06842172918482,602.2365417310928,1296.0984329087908
169,AN,a,22,ADS,62.087887378001085,117.96466271729145,654.7156016825079,1199.6390289029391
170,AN,a,22,ADS,67.22106635084775,64.3443614821706,648.2520014082012,1805.6666107426292
171,AN,i,22,ADS,71.15273728141173,56.30131629688151,519.5091937867846,2020.3656138032302
172,AN,o,22,ADS,71.94452412006683,123.32669284080566,496.9184647193866,1177.1698269104554
173,AN,a,22,ADS,72.44453342908443,72.38740666743126,508.8169823999083,1368.3185883440538
174,AN,u,22,ADS,72.7208437302869,75.06842172918482,398.2695017838041,1092.6554572933992
175,AN,a,22,ADS,73.79345748228549,88.47349703796681,578.674640627213,1125.2502791756147
176,AN,e,22,ADS,75.2208714466239,96.51654222324169,491.95708551383893,1334.0468431223312
177,AN,i,22,ADS,75.95116068870016,85.79248197621325,557.0673706385248,1571.569046421831
178,AN,a,22,ADS,76.4860231935206,45.57725604986729,440.3609941763732,1517.6999968958123
179,AN,a,22,ADS,76.64688409722598,61.66334642040283,572.5543481514765,1884.116492978214
180,AN,i,22,ADS,78.03608418255885,64.34436148215639,414.7759939995281,1975.7499999847676
181,AN,a,22,ADS,78.33650263058989,77.74943679095259,491.3419783792949,1869.9804902812275
182,AN,u,22,ADS,78.44508374059103,37.53421086459241,459.66592126303345,1512.162013220911
183,AN,i,22,ADS,78.54964332799955,80.43045185270614,487.5935927304648,2016.9194352183054
184,AN,a,22,ADS,78.88074868812649,56.30131629688151,538.3531717536382,1781.1549363980598
185,AN,i,22,ADS,79.07780329516558,85.79248197621325,487.13510396126,1741.759439499745
186,AN,a,22,ADS,80.75793549215348,75.06842172918482,652.6833725429171,1813.977941530884
187,AN,a,22,ADS,84.03015851245804,75.06842172918482,526.5793837145009,1883.5672102553776
188,AN,a,22,ADS,85.18169645893694,88.47349703796681,610.908215931589,1640.7351815768989
189,AN,a,22,ADS,86.24379171800831,85.79248197621325,535.7428742543952,1591.1293738080603
190,AN,o,22,ADS,87.16808323490056,268.101506175654,491.71331598777743,1105.288620836404
191,AN,a,22,ADS,87.84772055305586,99.19755728498103,498.00063723662305,1090.701486346646
192,AN,a,22,ADS,88.24430521487608,56.30131629688151,525.5045594627467,1267.8536908307387
193,AN,a,22,ADS,92.3597704382847,128.68872296429856,501.67635478071907,1433.7078883338884
194,AN,i,22,ADS,92.67210869297934,61.66334642040283,854.9009585046881,1884.775037827442
196,AN,e,22,ADS,95.33425602561996,77.74943679093838,458.9814418964184,1681.303500892359
197,AN,e,22,ADS,95.66938290833954,61.66334642041704,497.90697909890457,1325.9259171916206
198,AN,a,22,ADS,97.25858714927467,67.02537654390994,459.2646109607889,1748.5936469099875
199,AN,e,22,ADS,97.6459938256985,69.7063916056635,397.50002783698613,2126.1830651044247
200,AN,a,22,ADS,100.80221155275215,58.982331358649276,569.8622797453345,1970.3213745746634
202,AN,u,22,ADS,101.53010714201908,61.66334642040283,447.2754740541517,1481.3170185372585
203,AN,æ,22,ADS,103.87882325720842,61.66334642041704,663.7122182954892,1793.3920698745399
204,AN,o,22,ADS,106.29708001416184,112.60263259376302,383.12627702585365,1265.1540423381134
205,AN,e,22,ADS,106.49011309860832,58.982331358635065,447.20338310317084,1632.9029725215705
206,AN,a,22,ADS,106.96397309639828,80.43045185267772,538.4769373583027,1886.616365458997
207,AN,e,22,ADS,107.2468201854136,72.38740666740284,526.8917076601002,1595.8118293643463
209,AN,a,22,ADS,109.62865668298632,61.66334642040283,660.8013471783529,1170.6510712739434
210,AN,a,22,ADS,110.18362680076996,126.00770790255922,628.90728651222,1149.060880288876
211,AN,a,22,ADS,116.5211605808027,50.9392861733744,674.2766022977504,1214.959705592844
212,AN,a,22,ADS,116.65521133389052,88.47349703796681,452.72223980182196,1700.0626932119624
213,AN,a,22,ADS,117.83442583769671,88.47349703796681,526.0488893906385,1156.8269759250409
214,AN,e,22,ADS,118.39207697054208,115.28364765551657,464.4729372797407,1904.6649512357728
215,AN,a,22,ADS,120.20995210350355,67.02537654390994,669.065422435311,1169.9405228529938
216,AN,i,22,ADS,121.82386236447562,112.60263259377723,563.5407374815205,1818.8418713934448
217,AN,e,22,ADS,126.481221970066,58.982331358635065,496.77909285492774,1233.977603191448
218,AN,a,22,ADS,126.57365618349117,48.258271111635054,584.3073826509589,1152.0832271311767
