index,spkid,IPA,AgeMonth,Register,time_start,duration(ms),F1,F2
0,MADS101,i,12,ADS,6.64,100.00000000000054,363.175843399445,2484.202193681426
1,MADS101,u,12,ADS,8.32,230.00000000000043,305.26602382330424,674.4143308952505
2,MADS101,u,12,ADS,9.46,169.99999999999994,307.0048146750364,615.3430045082113
3,MADS101,u,12,ADS,9.97,229.99999999999864,339.59959170122755,690.7667043977483
4,MADS101,i,12,ADS,10.78,89.99999999999986,353.287805765627,2372.4738647389768
5,MADS101,u,12,ADS,18.01,209.9999999999973,398.90640492221877,846.1660006327877
6,MADS101,u,12,ADS,21.21140934900351,108.59065099649001,356.9117935934593,887.3537489930355
7,MADS101,u,12,ADS,29.23,120.000000000001,366.77057109870253,765.795025624491
8,MADS101,u,12,ADS,30.5,191.94389304259118,539.7275994682444,2343.3945179380216
9,MADS101,a,12,ADS,34.75,109.99999999999943,702.5823438303945,1218.0399162242516
10,MADS101,a,12,ADS,37.32,127.72296436988029,722.282721728652,1208.3713553528303
11,MADS101,i,12,ADS,44.64133651686998,111.06461524325084,355.73070346783675,2529.902521141104
12,MADS101,i,12,ADS,46.98487176513526,95.1282348647382,319.3347311144524,2441.06558584385
13,MADS101,a,12,ADS,51.45439043184546,150.263891211452,746.6629591155041,1353.1779185301566
14,MADS101,a,12,ADS,52.55,130.00000000000256,688.3177509375454,1192.702899164241
15,MADS101,a,12,ADS,54.17,129.99999999999545,720.6143732830961,1186.6274861141633
17,MADS101,i,12,ADS,61.58234247775766,87.65752224233836,335.9397820377505,1796.775330766844
18,MADS101,i,12,ADS,61.97,79.46718304543765,400.61628782278456,2191.218812045173
19,MADS101,a,12,ADS,62.27,117.56093827120395,718.9685177237083,1287.8688931751096
20,MADS101,i,12,ADS,67.46,120.00000000000455,362.9446608126324,2351.3348897124197
21,MADS101,i,12,ADS,69.62,99.99999999999432,347.20206216617083,2373.750907992411
22,MADS101,a,12,ADS,71.66,81.45208593506936,676.8074624219319,1253.812192321333
23,MADS101,a,12,ADS,72.65,69.99999999999318,625.1805271543934,1255.4897899524458
24,MADS101,i,12,ADS,74.92,69.82171853798036,567.5909484822032,1944.8010151599544
26,MADS101,u,12,ADS,90.31465331429062,132.29755639270024,346.2851095429211,781.4777234508825
27,MADS101,a,12,ADS,98.68,219.99999999999886,703.3724823004084,1229.5991443169742
29,MADS101,a,12,ADS,102.34,159.9999999999966,794.5940596483088,1247.4584610103843
30,MADS101,i,15,ADS,6.21,89.99999999999986,414.844799460277,2421.190226398555
31,MADS101,u,15,ADS,7.7,269.99999999999955,387.7078022420609,779.3520861637719
32,MADS101,u,15,ADS,8.64,89.99999999999986,409.3268861668056,1241.7295856797443
33,MADS101,u,15,ADS,8.907480547313972,145.26266579059842,569.6530250747726,833.0369796629661
34,MADS101,i,15,ADS,9.51,80.00000000000007,438.53348087771997,2265.8403674634083
35,MADS101,u,15,ADS,15.99,104.00966080929841,434.6731486899446,766.2274394781216
36,MADS101,u,15,ADS,18.71592509962992,102.97100359839817,373.7928533630432,735.4436949243369
37,MADS101,u,15,ADS,25.96,129.999999999999,410.4253626472719,792.460469175674
38,MADS101,u,15,ADS,26.98,179.99999999999972,480.3699159332101,1565.8222701485306
39,MADS101,a,15,ADS,30.26,125.95143719827817,657.778741810811,1232.5053506102356
40,MADS101,a,15,ADS,32.46,104.27586491153562,689.9545516597157,1234.881609177929
41,MADS101,i,15,ADS,37.82927607350965,102.97100359839106,458.17895544042557,2570.449536182591
42,MADS101,i,15,ADS,39.75382391013967,106.17608986032678,360.79161522796375,2270.5773822555307
43,MADS101,a,15,ADS,43.22,131.80402668569968,692.3100305107843,1180.6996545254647
45,MADS101,a,15,ADS,45.46,130.00000000000256,766.7837379691194,1279.3278444496761
46,MADS101,i,15,ADS,48.25030443246747,84.58332438438987,361.1208071903843,2319.3916426873375
47,MADS101,i,15,ADS,52.41,50.00000000000426,399.6801546910301,2409.9932541708436
48,MADS101,i,15,ADS,52.7585012880366,61.498711963402286,387.8661445775345,2157.463547657161
49,MADS101,a,15,ADS,53.02,109.99999999999943,737.5331840694347,1328.530401551248
50,MADS101,i,15,ADS,57.55,125.83731508238571,385.31517965429845,2634.8751251599647
51,MADS101,i,15,ADS,59.44,119.20003567990278,383.167675557449,2508.1074901094016
52,MADS101,a,15,ADS,61.5,100.00000000000142,692.7038967079628,1282.9159993972905
53,MADS101,a,15,ADS,62.5,109.99999999999943,631.3312654994413,1175.3021322332615
54,MADS101,i,15,ADS,64.77,53.0568892926766,508.001714095723,1749.8441593434657
55,MADS101,u,15,ADS,67.92468009353881,105.31990646119027,373.31326423714216,793.0244658727763
56,MADS101,u,15,ADS,75.53,99.99999999999432,401.85057462110575,730.4366670935013
57,MADS101,a,15,ADS,85.91,159.9999999999966,714.4649191154814,1323.9713018178911
58,MADS101,u,15,ADS,86.87,102.6678795923317,374.60707018937933,763.6774726005042
59,MADS101,a,15,ADS,88.67,123.93381498210942,775.7910656315413,1326.8566606744803
60,MADS101,i,6,ADS,6.24,104.8646508770581,369.76056187147736,2373.959275486655
61,MADS101,u,6,ADS,7.83,209.81767248274787,346.42684907007117,701.8576115252448
62,MADS101,u,6,ADS,8.62,138.56607796247465,393.4016816055103,941.0829878245919
63,MADS101,u,6,ADS,8.940294153217595,199.70584678240579,480.7798630588061,753.7276589905508
65,MADS101,u,6,ADS,16.32,207.31662177027133,346.7476340980737,1110.7516291555994
66,MADS101,u,6,ADS,19.32557615993129,107.3847717416605,453.11485067460615,874.6559204181798
67,MADS101,u,6,ADS,27.04789787820217,229.638204186017,423.67896633351364,876.249496947604
68,MADS101,a,6,ADS,32.08901220200337,117.29721221013278,720.6971107643575,1299.2687920596306
69,MADS101,a,6,ADS,34.6,135.74506060886904,724.9654023963895,1302.3675958559575
70,MADS101,i,6,ADS,41.11,149.99999999999858,381.13615522113594,2435.7464453993402
72,MADS101,a,6,ADS,47.87,102.82125270817488,701.7322996480705,1249.2119073710364
73,MADS101,a,6,ADS,49.97,138.8035766591429,855.35138419587,1316.5749475918954
75,MADS101,i,6,ADS,53.97430992959613,100.77647809601586,358.76100119343016,2287.2867161797903
76,MADS101,i,6,ADS,58.33,157.55898507034516,365.7969424381228,2557.490693801949
77,MADS101,i,6,ADS,58.76977023414471,56.17049598794921,436.97231421793583,2158.8129644664655
78,MADS101,a,6,ADS,59.02,114.87845806636443,693.3786535798494,1340.8266729562997
79,MADS101,i,6,ADS,64.43575808325225,87.5598908047408,345.11299623279496,2001.3899648475153
80,MADS101,i,6,ADS,66.2,69.99999999999318,368.2999177979275,2310.8724010451224
83,MADS101,i,6,ADS,71.33792746464079,79.299523747693,546.6939850940279,1895.8075040012818
84,MADS101,u,6,ADS,74.77,130.00000000000966,372.39949495754604,1087.6740879382485
85,MADS101,u,6,ADS,83.66284012786687,140.42623996986947,383.10282359233594,882.6015682253824
86,MADS101,a,6,ADS,93.1252405509093,175.1197816094816,603.549396496277,1180.7184364857628
87,MADS101,u,6,ADS,95.31,131.46964672175443,536.6118365729783,1854.7406667406979
88,MADS101,a,6,ADS,97.46302828473924,151.99075384974492,743.3445883543646,1253.701992627882
89,MADS102,i,15,ADS,6.215816775878538,114.18322412146242,287.636549043925,2550.596762492434
90,MADS102,u,15,ADS,7.779438775582956,140.561224417044,416.11917805060983,914.9551169936481
91,MADS102,u,15,ADS,8.639359413816175,230.64058618382433,323.5303760500757,912.47805330057
92,MADS102,u,15,ADS,9.1,210.00000000000085,377.24111373912945,1049.83451172553
93,MADS102,i,15,ADS,9.67,99.99999999999964,354.92866699697777,2632.890751290109
94,MADS102,u,15,ADS,15.83,152.25997092220035,345.59147738446586,762.1985715506252
95,MADS102,u,15,ADS,18.9,120.000000000001,351.16704413431313,694.0044887207947
96,MADS102,u,15,ADS,27.5,113.3723040376502,376.2955967182344,864.2580532873128
97,MADS102,u,15,ADS,28.64452005137501,148.18800493392814,472.4125828962908,736.869249905445
98,MADS102,a,15,ADS,33.32,104.31703605956244,723.0752119128065,1977.8944426795981
99,MADS102,a,15,ADS,36.54,190.77012880060806,665.691957430478,1465.9828189626276
100,MADS102,i,15,ADS,43.43005542983924,71.24423314131434,354.61558074818504,2538.131475136847
101,MADS102,i,15,ADS,45.68,79.9999999999983,316.97748919776046,2487.0199601906343
102,MADS102,a,15,ADS,49.49,91.65383362260826,693.6832928763606,1473.6618554156194
103,MADS102,a,15,ADS,51.0,119.99999999999744,879.1163270539867,1546.0064625311165
104,MADS102,a,15,ADS,52.27613703218928,103.86296781071991,956.6758036248086,1574.108173737654
105,MADS102,i,15,ADS,55.2881000861282,71.89991387179617,352.5511502419718,2407.5170010858747
106,MADS102,i,15,ADS,59.93,39.99999999999915,325.76865910607967,2479.478204921419
107,MADS102,i,15,ADS,60.27495877117973,58.42027117587634,360.76288337361905,2238.013482465608
108,MADS102,a,15,ADS,60.55,105.37450128139625,586.1740233334348,1532.4318997065177
109,MADS102,i,15,ADS,66.0,150.00000000000568,281.49279459227637,2478.42324990983
110,MADS102,i,15,ADS,67.64304616581448,166.95383418552012,236.10810182461125,2266.6013787065062
111,MADS102,a,15,ADS,69.52,95.44687665830054,576.3168547132276,1383.2842107927281
112,MADS102,a,15,ADS,70.68732048059596,82.64331044391326,619.4456557516437,1223.2098123774747
113,MADS102,i,15,ADS,72.9396929591755,49.87096319891293,400.77016354581815,1874.847644960037
114,MADS102,u,15,ADS,76.18,121.20617976397341,541.4493929505946,1319.857364509877
115,MADS102,u,15,ADS,86.58,102.92246256535975,327.186143104406,829.113673589236
116,MADS102,a,15,ADS,95.25,166.8992629553543,644.1672870614337,1342.6997756910619
117,MADS102,u,15,ADS,96.67,106.33014434583288,348.28487194990345,878.4832681415752
119,MADS102,i,18,ADS,6.11,119.70038659792425,305.5355666048155,2637.3434788700924
120,MADS102,u,18,ADS,7.64,150.00000000000034,331.8185884741196,810.1948409972458
121,MADS102,u,18,ADS,8.756321436575519,183.67856342448084,341.12193314508585,863.72008332978
122,MADS102,u,18,ADS,9.154999089533836,155.00091046616404,340.9614774501331,862.8719574341404
123,MADS102,i,18,ADS,9.719433409905871,70.56659009412769,332.2724677776157,2248.6290857872023
124,MADS102,u,18,ADS,16.56,130.00000000000256,365.9464818696497,728.9797309187867
125,MADS102,u,18,ADS,20.05265968175719,98.76106566562726,634.2257097212108,1652.996275606138
127,MADS102,u,18,ADS,28.93,109.99999999999943,423.7107934513913,1680.1247099030816
128,MADS102,a,18,ADS,36.17,140.00000000000057,739.2121688602424,1391.8380480502929
129,MADS102,i,18,ADS,42.83405185454924,142.74708650830092,255.95586411615622,2342.8491755660752
130,MADS102,i,18,ADS,45.32128123599245,91.29174137159168,454.4811622894842,2163.458396587407
131,MADS102,a,18,ADS,49.27,99.99999999999432,723.6807838119764,1414.7275679879806
132,MADS102,a,18,ADS,50.84,113.4157888832874,1026.7869489929365,1499.0711459897573
133,MADS102,a,18,ADS,52.4,90.00000000000341,387.70620688379944,1263.2429217255853
134,MADS102,i,18,ADS,55.29,87.32308942096978,306.4932560806461,2568.004515135439
135,MADS102,i,18,ADS,60.1845083482733,66.39399372478039,333.85568472932084,2477.2396154152534
136,MADS102,a,18,ADS,60.51,115.97517929076417,631.4645082805658,1358.3594213747845
137,MADS102,i,18,ADS,66.9,134.51100963555973,298.47001086550847,2527.814849135246
138,MADS102,i,18,ADS,68.95,90.00000000000341,318.58751386558856,2463.3448704278653
139,MADS102,a,18,ADS,70.61341172680261,76.58827319738748,469.49346952334594,1187.2579103531914
140,MADS102,a,18,ADS,71.66441478036599,85.58521963401233,770.2793421414538,1862.9010312818866
142,MADS102,u,18,ADS,87.84,137.59917077305772,432.7138877588865,1312.0259756485761
144,MADS102,u,18,ADS,99.22,90.00000000000341,341.39520876012256,831.8528857368747
145,MADS102,i,6,ADS,5.74,99.68471417978719,358.41138516519675,2233.059687500755
146,MADS102,u,6,ADS,7.07,120.00000000000011,347.1083544472788,716.3909127959644
147,MADS102,u,6,ADS,7.753986757689485,126.01324231051514,297.00805793274134,857.684316309509
148,MADS102,u,6,ADS,8.1,220.66157284017152,299.32444080026863,853.3004748456707
149,MADS102,i,6,ADS,8.62,111.31306465573765,365.4254484857924,2313.697287096825
150,MADS102,u,6,ADS,14.59568132273004,141.35034714994887,391.40709455698135,769.1642406031178
151,MADS102,u,6,ADS,17.20617128451783,113.8287154821711,388.6785030244822,824.20784060373
152,MADS102,u,6,ADS,24.56,52.26364343491241,394.98614395166624,835.1787602470401
153,MADS102,u,6,ADS,25.41,129.999999999999,354.6880959845811,717.8776373495282
154,MADS102,a,6,ADS,29.25,93.3697972114409,755.2595575219697,1420.0514453254902
155,MADS102,a,6,ADS,31.82,111.03694415735887,710.5783930877118,1350.5804474400015
156,MADS102,i,6,ADS,38.55,109.21786725206317,369.9182043664707,2361.6120658709688
157,MADS102,i,6,ADS,40.35102762218541,118.42866923373663,367.7101446781301,2396.719648735249
158,MADS102,a,6,ADS,43.51,102.65667792248934,791.1520192852811,1443.4627821386023
159,MADS102,a,6,ADS,44.94800586167817,133.7097878445377,850.8352666396505,1467.5745914687636
160,MADS102,a,6,ADS,46.15,112.77115739978427,709.6501268528074,1307.2672766377943
161,MADS102,i,6,ADS,49.03,84.82442172337556,378.5164663371777,2478.168036603296
162,MADS102,i,6,ADS,53.58,55.94444197954829,334.2875050225706,2341.774668556789
163,MADS102,i,6,ADS,53.88935632560874,59.851047892308884,382.59263888103726,2197.7998959238816
164,MADS102,a,6,ADS,54.13,89.67174457234961,685.2035023929627,1604.8499851533722
165,MADS102,i,6,ADS,61.48363827206873,154.08461265894857,330.1427142679254,2370.591364026606
166,MADS102,i,6,ADS,63.14680545322341,126.06922853915137,305.99027706029176,2466.2312746887874
167,MADS102,a,6,ADS,64.92,90.21986623405098,696.2230408307688,1285.12669606593
168,MADS102,a,6,ADS,65.95,85.03165048549022,560.4452429749547,1153.53283723729
169,MADS102,i,6,ADS,67.7463609301216,43.63906987840949,380.343746493091,1791.8906543671274
170,MADS102,u,6,ADS,70.97,116.47487403793377,416.80134226295286,808.8417687824091
171,MADS102,u,6,ADS,80.71192522762956,117.15524268282707,398.1360414293006,840.9067056897941
172,MADS102,a,6,ADS,89.11,137.07166905595614,800.3912642727313,1448.006519585943
173,MADS102,u,6,ADS,90.73,79.9999999999983,316.5231036596491,863.7361964873802
174,MADS102,a,6,ADS,93.06,96.41861829557286,696.2446642623969,1409.5654787900335
175,MADS102,u,9,ADS,7.66,160.00000000000014,323.6411289302159,627.4635266984743
176,MADS102,u,9,ADS,8.79,140.00000000000057,363.3038479044661,855.0485324091075
177,MADS102,u,9,ADS,9.15,189.9999999999995,316.09538645046825,967.486455777411
178,MADS102,i,9,ADS,9.77,99.99999999999964,342.09863558725135,2456.5457881531743
179,MADS102,u,9,ADS,16.5,160.00000000000014,295.0380421126344,771.7468787708017
180,MADS102,u,9,ADS,20.04577558037246,97.42628778224116,344.11075398330803,1012.9421817550046
181,MADS102,u,9,ADS,27.46777030285921,178.8058928709404,401.5768779601981,1059.2328646126941
182,MADS102,u,9,ADS,28.48,99.99999999999787,332.0006690025789,986.7208755226322
183,MADS102,a,9,ADS,32.07829204248826,111.1805872338536,732.1206789297815,1352.4675875367996
184,MADS102,a,9,ADS,35.25,130.00000000000256,724.0040867649362,1298.0238222895182
185,MADS102,i,9,ADS,42.14428092351235,105.71907648765233,292.1509814834168,2601.2046485733576
186,MADS102,i,9,ADS,44.13245129774334,97.54870225665968,310.3174229294793,2309.0112940408544
187,MADS102,a,9,ADS,47.61,90.00000000000341,819.0616058782598,1348.604736397541
188,MADS102,a,9,ADS,49.04,130.00000000000256,902.3907964797954,1347.3933243837496
189,MADS102,a,9,ADS,50.57,130.00000000000256,959.3423229640584,1249.3843815929358
190,MADS102,i,9,ADS,53.25013521917877,59.86478082122915,385.9847317465811,2441.7778672362197
191,MADS102,i,9,ADS,57.94,50.00000000000426,367.6017583657104,2118.633561592398
192,MADS102,i,9,ADS,58.26,65.0667963416609,291.15338346360863,2211.71941712063
193,MADS102,a,9,ADS,58.55,80.0000000000054,764.9070943083868,1384.6092809519348
194,MADS102,i,9,ADS,65.22,170.0000000000017,279.71042414262274,2568.055292302616
195,MADS102,i,9,ADS,67.33,109.99999999999943,322.0535171319703,2544.6895485304995
196,MADS102,a,9,ADS,69.27,100.00000000000853,674.3484413518413,1321.9961115045223
197,MADS102,a,9,ADS,70.44,100.00000000000853,695.9526918617947,1224.2437668406926
198,MADS102,i,9,ADS,72.57,60.000000000002274,353.9975300527269,1845.6223407956352
199,MADS102,u,9,ADS,75.99,90.00000000000341,403.5037898684759,1146.5788667447464
200,MADS102,u,9,ADS,87.29,99.99999999999432,388.199511877941,941.96587887549
201,MADS102,a,9,ADS,95.87,170.0000000000017,773.4720778000641,1283.7753573022435
202,MADS102,u,9,ADS,97.79,79.9999999999983,366.77675439897735,2167.360299835724
203,MADS102,a,9,ADS,100.61,129.99999999999545,763.8111958277666,1334.5136287679604
204,MADS103,i,12,ADS,5.92,99.99999999999964,396.40018229794185,2692.5216342222866
205,MADS103,u,12,ADS,7.501529177921281,188.47082207871946,438.1185448548026,794.1140121492926
206,MADS103,u,12,ADS,8.748482828855913,121.51717114408633,437.5412814818343,702.1294634932171
207,MADS103,u,12,ADS,9.11,210.00000000000085,405.6435571629301,828.0590113639483
208,MADS103,i,12,ADS,9.87,90.00000000000163,380.10565035060495,2547.255718601286
209,MADS103,u,12,ADS,16.35089818645286,139.10181354713913,346.82300015225655,890.3700628540767
210,MADS103,u,12,ADS,20.20050141803971,89.4985819602887,357.20520444878264,922.6537426936578
211,MADS103,u,12,ADS,27.98619743738516,111.32749396658781,437.14954869384195,732.251645864141
212,MADS103,u,12,ADS,29.04,140.00000000000057,452.8189724633475,718.591401924673
213,MADS103,a,12,ADS,32.56570782130556,89.68048125085915,666.7956626471653,1534.9646825783848
214,MADS103,a,12,ADS,35.0,136.92096895756123,659.8043773507658,1404.982653904392
215,MADS103,i,12,ADS,42.44247283714265,117.52716285734977,428.9175573878745,2609.1489252628044
216,MADS103,i,12,ADS,44.86442052118032,115.57947881967578,430.2955932319787,2641.243298069953
217,MADS103,a,12,ADS,48.28,116.51545573663213,557.0507995267691,1295.4251714097477
218,MADS103,a,12,ADS,49.40793310314022,132.0668968597758,719.8634344464261,1437.7118816544967
219,MADS103,a,12,ADS,50.88041916148364,119.58083851636303,592.2827802946977,1367.3745977377655
220,MADS103,i,12,ADS,53.30600767538031,82.96719871289326,473.3201546703217,2526.7880664464283
221,MADS103,i,12,ADS,57.85,51.57023303080166,405.204939145955,2492.369306313871
222,MADS103,i,12,ADS,58.17,59.99999999999517,401.6575754566272,2332.3880032992147
223,MADS103,a,12,ADS,58.46,127.51031253029055,663.8624012320922,1482.7716012318601
224,MADS103,i,12,ADS,65.6285015675272,181.1255746548852,435.38637965638225,2692.510041606104
225,MADS103,i,12,ADS,67.35783265667007,132.1673433299253,395.27936833786623,2672.399371889748
226,MADS103,a,12,ADS,69.2,90.00000000000341,731.1889010056507,1254.4467587559423
227,MADS103,a,12,ADS,70.18,94.63550596383641,680.0434850864577,1446.4494407784869
228,MADS103,i,12,ADS,72.57,40.00000000000625,538.0219002473837,1967.9549743374118
229,MADS103,u,12,ADS,75.59252408157315,98.15837594200616,370.0393637069357,927.0367986876997
230,MADS103,u,12,ADS,85.36,120.00000000000455,422.4814380982355,825.1724566779778
231,MADS103,a,12,ADS,93.4567220786715,153.27792132849538,715.0299765257437,1336.3882004893444
232,MADS103,u,12,ADS,95.19,140.00000000000057,390.2692510284637,866.2799814803271
233,MADS103,a,12,ADS,97.29031505786791,121.52941783296001,713.2192331530309,1321.8907617315635
234,MADS103,i,18,ADS,8.499237029358937,144.40693635141244,328.35106286169093,2661.7260019533314
235,MADS103,u,18,ADS,10.15980403966824,132.78798744956964,344.1857437517652,755.8921120380467
236,MADS103,u,18,ADS,11.41441225907659,109.55008964588941,378.67612791003256,806.7466451234316
237,MADS103,u,18,ADS,11.85303549417296,159.3455849394889,401.04843474304295,804.879364606334
