index,spkid,IPA,AgeMonth,Register,time_start,duration(ms),F1,F2
0,FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,368.9318702707496,2103.9719660400874
1,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,326.9841160456956,776.4507295831884
2,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,402.8487656955431,1180.4961223173593
3,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,301.10288406171446,681.4315847286974
4,FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,340.80447788854593,1679.3681641466565
5,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,389.38935068517395,668.7095674069055
6,FIDS101,u,18,IDS,31.62501510221582,99.22802210948944,390.4091286788718,991.9106697112855
7,FIDS101,u,18,IDS,39.33,60.000000000002274,342.64495541496484,1354.0743222684778
8,FIDS101,u,18,IDS,40.06,154.82430941472813,331.34253865143756,729.6451168303729
9,FIDS101,i,18,IDS,52.70725483048991,75.15063439175407,328.48545252374674,2020.302932735527
10,FIDS101,a,18,IDS,58.45527153546166,80.62276796395906,598.8088924225551,965.9650716744504
11,FIDS101,a,18,IDS,59.54541880604379,83.90604810730196,637.0488113366833,1045.1368365482701
12,FIDS101,a,18,IDS,60.9974248830142,63.476749437690216,706.5939942382497,1116.5085795831476
13,FIDS101,i,18,IDS,63.48345700165431,81.35140435071264,487.7175725517037,2110.861752906708
14,FIDS101,u,18,IDS,65.71066768379734,116.0072688851983,381.1435344548464,794.3840388748763
15,FIDS101,i,18,IDS,68.19898352127149,118.9277029694722,322.5227065930504,1994.650156014355
16,FIDS101,a,18,IDS,68.68558290407802,67.85445629546416,606.6468659615215,975.109515274463
17,FIDS101,i,18,IDS,74.6093655460863,140.08661944870937,364.0677887783811,2029.7916114640082
18,FIDS101,i,18,IDS,76.54001290949378,78.91546228943014,330.8968224282904,2089.768342302598
19,FIDS101,a,18,IDS,78.01,109.99999999999943,752.7008624271788,1216.8904209953184
20,FIDS101,a,18,IDS,78.8184498861212,85.45283786371272,722.7842640969092,1186.8247283657836
21,FIDS101,u,18,IDS,83.75701259785441,98.99454441041655,365.1151693603627,890.907082706441
22,FIDS101,u,18,IDS,93.72,59.30553921099602,349.63165597851986,1088.7141768278973
23,FIDS101,a,18,IDS,103.0452364958817,107.98343582500536,646.4810372156387,1006.8923103055864
24,FIDS101,u,18,IDS,104.9307779475228,122.57579201759938,302.6751938795933,1164.8304897399446
25,FIDS101,a,18,IDS,106.9365411983674,104.33534677690659,607.8755867913478,984.558849878934
26,FIDS101,i,9,IDS,5.41,99.99999999999964,312.7953834658291,1906.3321825475148
27,FIDS101,u,9,IDS,6.59,280.0000000000002,514.0581761410092,1458.7356380739072
28,FIDS101,u,9,IDS,7.55,129.9999999999999,305.486940074123,723.2566876994235
29,FIDS101,u,9,IDS,7.801897759230315,178.10224076968507,356.45375499447687,745.224037026093
30,FIDS101,i,9,IDS,8.4,80.00000000000007,371.44677924329295,1787.3795650602144
31,FIDS101,u,9,IDS,14.78,150.00000000000034,407.8631047599895,819.7488452134348
32,FIDS101,u,9,IDS,17.32,89.99999999999986,368.5593946452076,1379.9561826095414
33,FIDS101,u,9,IDS,24.14,160.00000000000014,278.44899578939055,617.3790889281712
34,FIDS101,u,9,IDS,24.97,150.00000000000213,388.3189611302605,707.697183237463
35,FIDS101,a,9,IDS,27.64,89.99999999999986,599.012490904651,968.6418478532229
36,FIDS101,a,9,IDS,29.6,79.9999999999983,507.5856247039103,934.2279907808409
37,FIDS101,i,9,IDS,37.13929301694983,99.66558829265892,330.0619832512617,1901.1081523059697
38,FIDS101,i,9,IDS,39.1,100.00000000000142,319.88942875821965,1919.9340808943314
39,FIDS101,a,9,IDS,42.35,89.9999999999963,623.9673091663301,967.2278993386857
40,FIDS101,a,9,IDS,43.77,119.99999999999744,684.7008344184692,1073.041290681824
41,FIDS101,a,9,IDS,44.82,71.30494242934304,726.5852845955244,1467.8350155118808
42,FIDS101,i,9,IDS,47.58,120.22073538138045,339.49815386435574,1894.7734171981515
43,FIDS101,i,9,IDS,51.71,109.99999999999943,272.843673224934,1957.13357129962
44,FIDS101,a,9,IDS,52.05,100.00000000000142,596.5408876441455,1101.275929796465
45,FIDS101,i,9,IDS,59.49,95.49823721948769,338.94628863618624,1950.683268611698
46,FIDS101,i,9,IDS,61.02,91.52137241623848,325.8029410853634,1666.294460265744
47,FIDS101,a,9,IDS,62.41,77.46685631724404,459.14952450263047,916.4444295758751
48,FIDS101,a,9,IDS,63.32,77.35166447027098,595.4239946835588,1037.7524491649876
49,FIDS101,u,9,IDS,65.32,70.00000000000739,454.2169074185176,934.7322324899326
