spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
AF,i,20,ADS,1.999973207740104,62.07578095420008,-317.37747,132.44608,28.53155,31.1067,17.670164,-3.7226505,-48.510864,8.347176,-23.422783,6.606126,-27.16827,18.230843,-7.569419
AF,e,20,ADS,2.136802217871544,54.207019988174565,-346.66788,139.30057,36.557716,55.338673,4.0784464,-15.583231,-31.79635,8.438393,-36.472527,-10.388389,-14.661259,-4.4229374,-13.848734
AF,æ,20,ADS,2.822306836628014,74.31607579023903,-270.0233,122.14248,-7.1463923,38.639297,2.6094618,3.8136127,-17.324333,-7.12961,-17.199118,-8.259581,-23.09085,-10.044474,-15.192491
AF,i,20,ADS,3.0242290987596654,34.972270960112795,-274.40338,121.594536,14.13766,52.562874,-9.960512,-27.868307,-33.75518,10.078199,-25.602486,-5.4444385,-6.4234066,-3.7263196,-16.063541
AF,e,20,ADS,8.834217516623287,70.81884869422872,-276.61182,123.47561,-37.667534,59.307037,-46.216347,-25.165474,-46.368053,25.311775,-33.81734,-25.149082,-10.174692,-26.62691,2.6055102
AF,u,20,ADS,12.45924581470233,89.17929094828558,-343.577,157.9714,23.665958,22.97774,-27.805603,-1.4749004,-16.432129,-22.794868,-22.662502,-11.462401,1.1454993,-10.411335,-9.878979
AF,i,20,ADS,19.53247030960732,77.81330288625199,-253.10478,116.19767,-7.026554,29.50476,1.5863279,11.983484,-31.240591,-12.412985,-7.7874603,6.7167244,-28.509857,-2.9872167,-3.1925678
AF,i,20,ADS,25.383912437254683,44.340436931641136,-308.21143,134.0238,42.30945,69.97461,-31.185192,-0.65945506,-11.692423,-14.787237,-20.645271,0.543436,2.0076056,-4.2972555,2.8148117
AF,i,20,ADS,25.65696061830775,66.5106553974546,-344.77237,182.95679,12.586216,54.857414,4.369052,-5.709722,-40.578575,4.1007357,0.5194156,0.69576263,-2.870351,-6.66369,10.76976
AF,a,20,ADS,28.37301182021075,124.43929074362714,-238.68622,121.66466,-25.628849,-8.390681,-2.988701,17.845171,5.943704,9.51059,9.816127,16.950571,-31.847542,2.8779833,-0.20169663
AF,a,20,ADS,28.936487113486155,97.97806225216732,-246.53694,151.7135,1.8174124,0.9316492,-8.412824,20.477016,-3.0632887,5.262887,-4.014661,8.057878,-19.320503,-6.170135,-20.277506
