spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-220.69675,132.75383,-52.531425,65.44394,-37.781136,-23.444654,-21.995075,6.4593534,-1.3778218,-25.642635,-22.377949,-21.702635,-5.738213
AF,u,20,IDS,1.1045122975514214,43.659528824823155,-232.18607,147.68486,-37.269737,51.595573,-9.87727,-14.282517,-17.370043,-4.51692,-18.384037,-1.8843725,-15.562006,8.728022,-9.735749
AF,i,20,IDS,16.214247141529036,51.1870337946192,-328.30103,76.64081,23.606792,68.45329,2.0479448,-0.105647326,3.002077,13.108046,-29.43383,-11.563765,-10.732193,-4.6565933,-20.636322
AF,i,20,IDS,20.30835202281601,81.2970536738078,-334.5858,95.57866,42.866425,30.3339,-18.178299,-3.7258089,-19.820728,-21.090908,-30.636265,14.845719,-8.34453,-5.210569,-11.642178
AF,u,20,IDS,27.02785470782312,46.67053081274375,-256.2289,194.19429,-18.619156,25.608463,0.19269294,-5.713705,-5.841774,3.056003,-1.6703895,13.124762,-30.258583,-23.007824,-13.063183
AF,i,20,IDS,28.57553510826905,91.83556063151954,-333.3824,116.285995,10.325312,71.56741,-47.40227,-0.41509068,4.5600815,-24.948444,-37.992935,-6.19786,-9.708147,-21.463173,3.9270234
AF,i,20,IDS,29.597069306314133,57.209037770455495,-238.65315,103.55495,-15.812165,82.50859,-66.23771,-20.209816,-8.873127,-16.913055,-29.387386,-3.2967453,-11.445654,-12.065104,16.774046
AF,a,20,IDS,31.87766880626794,57.20903777045905,-211.33565,126.01025,-103.69641,10.669313,-3.9657888,38.54249,0.23319112,-0.509796,-10.46685,-14.256052,-35.14747,6.9821973,-11.275324
AF,a,20,IDS,33.60115527799135,55.7035367764982,-230.80872,98.70489,-32.974186,45.28653,-59.913322,15.228155,-65.76845,-28.042612,-4.8506184,-33.51802,-27.245842,-2.8735633,-8.421033
AF,u,20,IDS,34.25303720837579,88.82455864360139,-385.82556,148.58926,-32.456226,28.166496,-6.832347,5.832691,-15.172048,3.1592107,2.705216,-23.823019,-41.002724,-32.997997,-6.1731677
