spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-453.05356,111.43123,0.81770974,106.594406,21.041359,-16.699154,-9.199156,-7.4060135,-16.226875,-13.653656,-8.414985,-8.669241,-3.9286604
FADS101,u,18,ADS,5.69,159.99999999999926,-588.83374,197.08008,92.43265,18.303356,-4.414415,-24.549244,-8.614716,-7.7548013,-3.6348393,3.2839198,-4.214652,-9.105303,-23.502914
FADS101,u,18,ADS,6.697327169455356,87.9720416853429,-583.44775,206.03894,69.72533,24.813286,-16.467167,-19.166332,-9.075308,2.1825728,0.71886325,-4.3355,2.6540573,-4.057849,-25.680832
FADS101,u,18,ADS,6.922141504394846,97.10121582250065,-536.7073,189.15799,86.851715,22.0883,-12.244304,-32.81909,-10.45817,-13.642883,-18.982975,-0.16074657,-11.127285,0.1172955,-17.795834
FADS101,i,18,ADS,7.354016154215554,80.50271739130466,-410.0081,96.740616,3.3455381,87.78255,24.919174,-23.523693,-8.599602,-6.7331505,-14.918335,-9.902901,-7.1871266,-3.9460773,-10.300617
FADS101,u,18,ADS,12.93297205963919,117.02794036080988,-494.27606,147.64894,87.920944,40.87648,-13.737337,-24.299706,-31.15723,-7.176817,-1.9853662,-5.26082,2.242351,-16.62295,-13.741123
FADS101,u,18,ADS,15.49348089698885,83.82241707754012,-588.77936,178.73914,94.11308,26.062113,-4.423339,-17.582907,-9.746933,-17.629894,-5.815524,2.6912255,-2.0032854,5.479245,-31.142227
FADS101,u,18,ADS,22.31916913936903,78.83551378305853,-536.73566,147.93085,60.463226,27.476604,59.742813,37.232224,-18.7537,-24.5606,-25.593876,-13.671846,-15.58753,2.952406,-29.631851
FADS101,u,18,ADS,23.11,181.83575467607938,-597.5091,187.5051,107.60542,30.943754,1.1119776,-12.702719,-3.6859071,-17.481266,-17.156372,3.1075208,-1.571163,-20.684317,-20.393995
FADS101,i,18,ADS,35.41622277549097,71.3735432541398,-434.43985,102.407166,7.810898,90.939575,19.409815,-17.63861,-11.446197,-14.872272,-10.762222,-12.31052,-16.889046,-0.5438858,-20.166069
FADS101,a,18,ADS,40.28059945635131,79.40054364868843,-421.7241,181.4899,6.9598627,-21.109043,-33.665344,-11.513684,-14.379049,15.575525,5.408168,-9.002249,-29.430532,22.372158,-30.086187
FADS101,a,18,ADS,41.72510556347815,66.39399372478039,-479.36038,209.52747,1.7572296,-12.586497,-26.650402,-3.1770918,-15.894135,16.797665,5.4832115,-17.007185,-9.574215,13.525568,-30.050358
FADS101,a,18,ADS,43.05,90.00000000000341,-412.3553,158.73517,21.700481,-2.8543575,-48.586983,-14.005894,5.6538186,-22.910343,17.925003,-2.64966,-41.36481,9.751399,-10.171043
