spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
MADS101,æ,12,ADS,3.26489272612333,112.84774106292383,-280.61462,108.415245,-89.92007,19.792397,-26.193768,-8.875158,2.8983278,-18.82834,19.323322,-22.705357,-14.035712,-20.890675,3.0076423
MADS101,o,12,ADS,3.830474856926795,91.35293324141492,-409.95932,188.77281,-14.780886,26.073505,-21.06259,12.371359,11.847471,-26.674755,-16.037428,-12.562367,30.863846,17.030516,1.7101059
MADS101,e,12,ADS,4.860157739860236,99.84226013976371,-306.45544,99.20401,-67.09845,61.088142,-41.13128,-40.504158,-9.180807,-25.097471,12.305914,-35.060913,24.319326,-18.285954,-5.89264
MADS101,o,12,ADS,5.679328930329384,107.47403910754727,-420.09375,167.47562,-9.556202,5.415121,-46.873802,-23.037048,14.512601,-31.271767,-13.481344,-28.127003,3.1557343,-7.9392366,9.109774
MADS101,i,12,ADS,6.64,100.00000000000054,-469.7365,70.12804,52.98696,88.20048,8.319214,-5.6914854,13.079348,-45.92239,-19.039345,-34.663807,-24.466494,-14.15232,-13.590307
MADS101,u,12,ADS,8.32,230.00000000000043,-609.9331,209.11723,82.63048,28.528873,-4.1687174,-26.976177,-2.3394918,-18.878384,-4.0404396,-4.9555435,5.5485787,-11.653126,-13.642517
MADS101,u,12,ADS,9.46,169.99999999999994,-551.1811,188.96722,59.18596,20.141155,0.18483543,-38.462265,9.069206,-21.718273,-13.4662895,-13.765852,-9.269003,-18.808939,-12.347124
MADS101,u,12,ADS,9.97,229.99999999999864,-505.57962,161.24162,47.815765,25.758545,-47.65171,-32.956768,-3.561187,-44.89615,-7.2184634,-29.671724,15.76352,-15.95801,-25.443314
MADS101,i,12,ADS,10.78,89.99999999999986,-545.93646,91.28314,35.558544,86.7879,26.167274,-26.933922,28.922806,-46.804375,-25.233326,-34.491493,-11.69576,-28.452663,-9.609272
MADS101,æ,12,ADS,14.17,136.56794793879,-358.04105,158.0838,-70.38939,8.139219,1.3801504,4.914674,-7.044444,7.76619,3.092915,7.7655506,-5.025178,-11.846331,-11.425787
