spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
FIDS101,e,18,IDS,3.08,57.93992565792205,-464.78204,143.84442,19.620014,34.966087,43.872932,-23.845171,-48.60463,-4.149377,6.2786765,-11.513152,3.8310006,12.27301,8.992916
FIDS101,o,18,IDS,3.427156510919454,69.31369191472126,-545.40875,184.78078,89.89758,34.63966,0.60483944,-34.929,-0.115870364,-3.4659042,-5.2323875,-18.088324,-2.4834847,4.398871,-33.739902
FIDS101,o,18,IDS,4.944442201811249,86.82451934580726,-550.64886,141.29071,77.19664,23.912554,-0.10664424,10.50949,29.130962,7.568393,-3.8071241,-9.152951,-22.714163,1.792979,-15.0967655
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-511.94293,129.83813,50.8409,69.30893,32.52921,-10.926349,7.9541593,12.59595,-36.825386,-13.579051,-10.704676,-12.991853,11.5889635
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-504.01453,185.69237,72.66962,21.342777,-17.875633,-17.28056,-7.936364,-1.2995702,-4.3158264,-15.003327,-0.31806457,-8.054941,-26.751373
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-590.34314,213.26706,67.56787,19.99229,-5.013169,-9.409332,-8.611795,-1.2801352,-14.523653,-18.391365,-12.088307,-1.4617724,-25.15243
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-560.7723,190.6376,92.04802,31.10197,-32.049316,-26.104622,-4.513957,-12.7526865,-18.291937,-14.297989,-6.421771,-5.558772,-17.88137
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-466.5333,116.39397,26.14279,69.22246,40.950665,-21.522614,-2.280262,2.9034152,-34.197487,-23.725302,-8.584858,-22.903076,-10.055374
FIDS101,æ,18,IDS,12.73789617443349,78.79872343988836,-443.4113,149.87466,9.852324,39.051136,32.961708,-15.838547,-38.072716,-8.208699,3.3011532,18.560442,12.2240505,-4.160599,8.109863
FIDS101,æ,18,IDS,15.86409220739139,70.77292753398012,-433.67648,154.03873,32.24783,17.242521,27.289007,-16.925152,-34.763634,-18.658306,-3.9125566,19.96905,12.780407,-11.128821,8.428392
FIDS101,æ,18,IDS,17.24319400186121,74.78582548694135,-418.06824,147.98926,9.51537,22.730976,27.620928,-8.912718,-35.074287,-14.5716305,1.148542,22.24624,-3.1991384,-0.25499493,8.456302
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-405.41327,144.58267,98.77899,12.833559,-2.2348635,-25.551916,-15.4093485,-10.9492235,-22.654284,7.031109,-2.001699,0.1439426,-17.686298
FIDS101,æ,18,IDS,30.6989659789364,67.12483848583872,-274.89777,112.70195,-53.199505,-6.566464,7.508007,-32.306496,-39.343803,-7.00424,-17.894987,7.434386,-12.587897,-26.599056,4.5023785
FIDS101,u,18,IDS,31.62501510221582,99.22802210948944,-453.02362,172.85423,46.249554,-11.142204,-2.707099,-5.491049,12.012964,11.068475,-17.025036,-29.8409,-26.895391,5.45453,-4.4242253
FIDS101,æ,18,IDS,37.39,120.57072021683268,-360.98758,163.2645,-37.426094,22.77718,18.090416,-34.19512,-35.889206,-8.905729,-3.3521843,16.578236,-18.505123,-4.5506716,-12.8734045
FIDS101,u,18,IDS,39.33,60.000000000002274,-500.15762,163.18097,55.83262,6.0007443,47.820713,34.51036,-26.710823,-18.77362,-11.899326,-14.494122,-8.202981,-12.871639,-17.13628
FIDS101,u,18,IDS,40.06,154.82430941472813,-560.6923,195.00293,74.36612,45.718384,-10.920568,-22.17241,-7.4660006,-15.119955,-8.299152,-2.2973957,5.073555,-9.708495,-21.117363
FIDS101,æ,18,IDS,52.29803729558491,113.09076049244027,-302.65436,125.362564,-22.485395,2.8363228,29.164165,-25.72626,-23.5803,0.87808585,0.7122979,9.332295,-4.913935,-4.4842386,5.3190646
FIDS101,i,18,IDS,52.70725483048991,75.15063439175407,-430.10562,109.9019,17.847084,91.35205,12.711931,-16.67278,1.8089957,-2.0476146,-14.40916,-12.235138,-22.303524,-10.252036,-9.031633
FIDS101,e,18,IDS,58.2534910035871,53.626909007697066,-356.68372,157.05441,-39.17417,-15.376402,-0.09914935,-4.4876895,-5.5915756,-2.274404,-10.866581,14.133085,9.856633,-6.671896,-14.124862
FIDS101,a,18,IDS,58.45527153546166,80.62276796395906,-457.54547,196.72354,8.606043,-19.939613,-24.810791,-1.0372165,-0.24081951,24.258318,2.8583395,-21.925615,-2.0075445,10.312213,-2.8193307
