spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
MIDS101,æ,12,IDS,3.945619516445384,177.9634767160596,-433.07382,138.00769,-61.5701,-30.48299,-14.154511,20.099148,-6.911944,-31.802177,16.694502,-18.295486,-28.285103,8.338527,-20.163723
MIDS101,o,12,IDS,4.62619211089604,104.99845126247553,-426.3037,191.12906,-40.980984,17.963718,-76.96461,1.0780716,15.712279,-43.385895,-14.594499,-27.54607,2.1856208,-0.22952628,2.2784734
MIDS101,e,12,IDS,5.722465368932885,117.53463106711504,-366.50317,103.72113,-25.580791,61.79291,-55.56038,-36.400093,-3.963826,-36.113655,8.984446,-20.390339,17.60354,-14.704685,-0.5697627
MIDS101,o,12,IDS,6.578718416100653,117.41168112433354,-483.6472,206.95602,-27.966215,1.2900697,-41.323902,-0.63768625,17.671696,-42.27061,-23.680706,3.5876114,1.3430204,-1.3749205,1.9113133
MIDS101,i,12,IDS,8.21,179.99999999999972,-584.7973,81.0668,100.215225,68.4345,5.305709,29.490318,15.505825,-29.92751,-8.770903,-33.13977,-3.6832228,-17.504305,8.8402405
MIDS101,u,12,IDS,9.98,179.99999999999972,-592.34863,153.2232,91.853424,24.946896,-15.128037,-11.729814,-13.814396,-7.103815,2.7840805,-17.228645,-18.56323,-23.422544,1.9395652
MIDS101,u,12,IDS,10.93,109.99999999999943,-564.50916,135.44653,52.849705,26.640793,18.755121,-11.512373,18.992022,-0.31912613,-19.543507,-25.255314,-24.851444,-35.97129,-23.932955
MIDS101,u,12,IDS,11.3,209.9999999999991,-567.50287,197.48459,66.5763,-10.768172,-49.96235,-34.91957,-19.205067,-43.67265,-17.14468,-20.648426,-7.9966297,1.37191,18.159203
MIDS101,i,12,IDS,12.05,69.99999999999851,-464.12143,106.21474,17.202908,87.02823,-8.857958,-34.450253,19.71973,-46.273643,-10.9277115,-40.886757,4.8194404,-27.834692,-16.40601
MIDS101,æ,12,IDS,14.62,140.00000000000057,-354.07516,145.36081,-74.7901,-23.61079,-5.5848913,-17.832684,17.383879,-35.144547,21.70431,-16.138073,-10.503103,-26.381863,-2.9685655
MIDS101,æ,12,IDS,15.63,80.00000000000007,-379.24564,141.50558,-45.490944,-21.44453,-2.6702056,5.183384,13.991916,-17.289976,25.565971,2.5965052,-16.57398,-23.780241,-9.161488
MIDS101,æ,12,IDS,17.73,129.999999999999,-386.96152,122.59694,-45.775402,-22.068573,-10.197403,-7.643919,6.9084263,-8.272454,11.9967375,-0.11600578,-19.584341,-31.56649,-4.8163013
MIDS101,u,12,IDS,18.65905706795583,270.9429320441714,-478.1038,113.73805,2.065145,-11.177027,-80.63966,-11.758081,-13.953818,-42.297974,-24.230042,-10.442764,7.879664,24.450638,40.253296
MIDS101,e,12,IDS,24.35,59.99999999999872,-452.79236,119.52205,9.776966,25.299461,-29.428316,-38.4988,-13.208551,16.524466,-7.9369764,16.711807,-1.3449556,0.5532445,-23.733223
MIDS101,æ,12,IDS,24.53979835443594,131.8623495704081,-403.70453,113.08798,-47.599495,-14.168119,-16.893618,19.216015,-18.36054,2.5136716,-8.45474,-18.750969,-14.517643,-10.648819,-9.733082
MIDS101,u,12,IDS,25.39444294167983,111.99268045704969,-554.5905,153.85153,37.25592,9.622199,-36.667076,-1.0339806,7.2403116,-20.083712,-14.780775,-9.157723,-21.352077,-21.78787,-9.115587
