spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,dmfcc1,dmfcc2,dmfcc3,dmfcc4,dmfcc5,dmfcc6,dmfcc7,dmfcc8,dmfcc9,dmfcc10,dmfcc11,dmfcc12,dmfcc13
AF,i,20,ADS,1.999973207740104,62.07578095420008,-209.13414,134.22878,25.591705,47.568108,7.5831485,-7.0614867,-37.015717,0.21367225,-10.749541,-11.340658,-8.419678,11.065997,4.1070194,117.36292,117.36292,-43.330334,-9.004278,-27.314796,-22.299433,3.6375794,13.133088,-5.7771654,1.1649318,11.203328,6.2633486,6.2633486
AF,i,20,ADS,1.999973207740104,62.07578095420008,-271.4468,136.89745,6.513786,60.24945,2.000666,12.358397,-55.010075,-4.3002844,-14.159611,-11.692753,-19.593971,10.897764,7.9733205,138.9803,138.9803,-38.323997,-2.2565598,-23.945528,-28.505371,-8.329341,20.425232,-3.6962342,-2.7171803,11.2952585,13.783646,13.783646
AF,i,20,ADS,1.999973207740104,62.07578095420008,-290.22028,139.1806,6.258913,57.374626,5.5443316,10.899408,-51.608627,0.7210697,-9.460804,-6.281633,-19.93017,7.1958375,3.9170659,148.2396,148.2396,-40.90299,-0.35729074,-23.23761,-28.576479,-5.0891695,21.073912,-3.5013514,-5.234683,6.738735,11.923618,11.923618
AF,i,20,ADS,1.999973207740104,62.07578095420008,-317.37747,132.44608,28.53155,31.1067,17.670164,-3.7226505,-48.510864,8.347176,-23.422783,6.606126,-27.16827,18.230843,-7.569419,172.95451,172.95451,-50.66969,-5.4306927,-17.414677,-33.090515,6.034913,12.544041,-0.8705249,-1.8727436,5.8123584,9.799426,9.799426
AF,i,20,ADS,1.999973207740104,62.07578095420008,-327.80402,105.08496,65.40439,22.01596,30.113075,7.133133,-39.693596,8.465387,-18.316833,-1.4694467,-41.11221,19.492596,-10.271008,196.6042,196.6042,-41.5345,-17.645657,-7.441414,-34.903336,0.6661272,10.688381,-4.9674172,-11.397688,10.481021,15.420601,15.420601
AF,i,20,ADS,1.999973207740104,62.07578095420008,-340.99118,64.765465,68.9849,20.158009,30.282097,7.4394703,-22.192787,9.698417,-19.862173,-10.475522,-25.219505,20.811651,-19.449131,204.98804,204.98804,-22.303728,-19.351402,-6.359269,-26.237442,1.1294732,1.165307,-10.086969,-2.678666,15.643587,2.8851871,2.8851871
AF,i,20,ADS,1.999973207740104,62.07578095420008,-300.552,76.42409,66.19395,2.6254206,22.551117,-0.7871045,-5.815132,6.858758,-22.779226,-5.853346,-18.933594,1.6080028,-27.676422,183.37297,183.37297,-36.899334,-21.821415,-1.7062625,-14.183125,3.8229313,-8.482047,-6.356052,1.9228163,3.7306743,-4.371414,-4.371414
AF,i,20,ADS,3.0242290987596654,34.972270960112795,-155.6259,102.59143,-7.1835194,27.625307,-6.075801,-2.0065646,-12.555543,-1.7638812,-19.980099,-6.5343447,-0.582116,6.4049015,-0.4741012,74.22119,74.22119,-37.483063,0.55385923,-14.815936,-3.239871,0.121341705,-3.712278,-2.3852317,9.698992,6.469623,0.05400741,0.05400741
AF,i,20,ADS,3.0242290987596654,34.972270960112795,-226.55559,108.763245,-18.200876,50.315315,-17.816397,-32.868385,-31.53658,14.04026,-23.255548,-6.000445,11.1944475,-3.5672905,-19.307251,104.17735,104.17735,-29.223965,0.19223976,-41.59185,-6.860091,23.454323,4.1405153,-10.020352,17.224998,1.2165772,-15.25085,-15.250849
AF,i,20,ADS,3.0242290987596654,34.972270960112795,-274.40338,121.594536,14.13766,52.562874,-9.960512,-27.868307,-33.75518,10.078199,-25.602486,-5.4444385,-6.4234066,-3.7263196,-16.063541,144.27052,144.27052,-34.51583,-12.049087,-40.21559,-11.897334,18.973253,4.0763474,-7.761319,9.58954,0.85905945,-4.8200674,-4.8200674
AF,i,20,ADS,3.0242290987596654,34.972270960112795,-261.84833,113.07149,29.638493,36.288162,-14.28662,-21.549921,-13.609846,-7.620345,-16.716026,-2.2866018,4.196811,-12.995996,-3.5311904,145.74341,145.74341,-38.391663,-21.962557,-28.919043,0.338387,6.964788,-1.5530901,2.6668715,10.456419,-5.354697,-3.8640008,-3.8640008
AF,u,20,ADS,12.45924581470233,89.17929094828558,-161.80273,119.09317,1.3181262,15.082725,-10.97946,1.5038621,-13.32346,-8.235323,-15.924503,-0.5011168,-4.662695,3.5635037,-7.7099032,81.56043,81.56043,-52.005222,-6.148793,-6.789431,-1.1719999,-4.8695927,-1.3005219,3.867103,5.630904,2.0323102,-1.5236042,-1.5236042
AF,u,20,ADS,12.45924581470233,89.17929094828558,-310.62814,141.52982,32.214653,15.745501,-26.776552,-3.821677,-19.238503,-9.401265,-18.202393,-14.537929,-12.495859,-9.964563,-13.551729,171.4214,171.4214,-62.89216,-29.495604,-9.783588,3.7690248,-2.7897942,0.51805496,-2.5683317,2.8532667,2.2866826,-0.527935,-0.527935
AF,u,20,ADS,12.45924581470233,89.17929094828558,-324.77084,150.48865,36.726486,13.188374,-27.963945,3.2809298,-17.372091,-12.400064,-24.829056,-10.268953,-6.707858,-15.931698,-0.9378884,180.74866,180.74867,-68.65014,-32.345215,-4.953722,5.295927,-7.840497,-3.7284822,1.0655556,9.060599,-2.8313723,2.884985,2.8849847
AF,u,20,ADS,12.45924581470233,89.17929094828558,-339.9735,154.56049,29.794445,18.227718,-25.768707,7.1581516,-15.636841,-14.609263,-21.61675,-7.3676534,-3.6611204,-19.7795,-6.0568323,184.88397,184.88397,-68.16638,-27.781576,-5.5347834,5.065933,-10.883708,-2.989955,3.620805,8.977816,-6.205923,-1.197856,-1.197856
AF,u,20,ADS,12.45924581470233,89.17929094828558,-343.577,157.9714,23.665958,22.97774,-27.805603,-1.4749004,-16.432129,-22.794868,-22.662502,-11.462401,1.1454993,-10.411335,-9.878979,183.62148,183.62148,-67.49683,-25.73578,-12.22632,5.686737,-10.659984,-3.1151867,5.6662335,11.904001,0.5255332,-5.512239,-5.512239
AF,u,20,ADS,12.45924581470233,89.17929094828558,-361.9949,155.58069,32.95647,26.87118,-26.019747,-4.193769,-7.8147087,-18.355515,-23.188238,-11.642366,-1.4050612,-21.443577,-16.975048,197.4757,197.4757,-64.35475,-29.48811,-15.5324745,9.102519,-7.080873,-7.6867647,3.356574,10.891588,-4.900605,-7.7849936,-7.784993
AF,u,20,ADS,12.45924581470233,89.17929094828558,-354.46472,169.55087,21.01804,22.33279,-14.893068,5.3974285,-22.499006,-25.796577,-20.936295,-7.4207554,2.3310275,-12.115606,-15.932327,187.74138,187.74138,-73.60904,-17.955555,-8.467681,-3.802969,-15.597003,0.78135586,9.187911,11.633661,-2.3474255,-9.131678,-9.131678
AF,u,20,ADS,12.45924581470233,89.17929094828558,-343.78653,174.7435,12.577848,28.4331,-16.352797,2.51359,-19.402248,-35.614742,-16.76046,-4.273125,8.147974,-17.304916,-9.287336,178.18219,178.18219,-73.1552,-14.4653225,-12.959755,-1.5247259,-19.064167,1.3208942,15.670809,12.454217,-6.515896,-8.717655,-8.717655
