spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,dmfcc1,dmfcc2,dmfcc3,dmfcc4,dmfcc5,dmfcc6,dmfcc7,dmfcc8,dmfcc9,dmfcc10,dmfcc11,dmfcc12,dmfcc13
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-123.94636,107.01288,-33.656693,36.087337,-31.907307,-20.06601,-8.755279,-4.76029,-22.17701,-7.297939,-5.653554,-13.4016,-17.338188,45.144833,45.144833,-35.462772,0.8746929,-28.076674,11.5760145,7.6528597,-6.7108655,-1.2688243,8.261728,-3.0518305,-5.842317,-5.842317
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-163.99886,112.27098,-45.200165,57.95369,-46.773506,-36.368584,-1.9747136,8.501513,-9.717476,-13.534832,-11.757751,-10.411998,-17.729809,59.399345,59.399345,-27.158646,-0.7866707,-47.161137,22.399397,22.43505,-3.8713813,-11.018172,-1.0201378,1.5614171,-2.9860287,-2.9860287
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-189.98328,124.574776,-56.482086,65.74756,-49.99975,-33.672543,-13.141781,7.2844133,-0.46579295,-21.993362,-11.133967,-16.245586,-8.294397,66.750595,66.750595,-29.413609,3.241169,-49.710052,18.428984,20.478477,6.337994,-14.638888,-5.3340874,2.873888,1.419785,1.419785
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-220.69675,132.75383,-52.531425,65.44394,-37.781136,-23.444654,-21.995075,6.4593534,-1.3778218,-25.642635,-22.377949,-21.702635,-5.738213,84.082664,84.082664,-33.654945,7.375145,-44.444298,7.89303,14.952004,10.308627,-16.050995,-10.500064,1.9700003,8.319868,8.319868
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-272.15353,129.9255,-9.205329,65.59735,-9.446569,-22.626308,-20.522373,5.3255925,-8.110274,-16.680471,-9.283706,-11.008486,-4.863085,131.4741,131.4741,-32.164078,-0.12062025,-44.11183,-5.537902,13.97595,6.2060494,-11.003032,-0.5867157,2.8359928,2.2103105,2.2103105
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-306.38394,122.01021,-2.9022818,71.58516,-9.51224,-34.2099,-16.166613,1.0712538,-0.7144209,-13.309969,-16.121248,-12.461836,-7.665999,151.74083,151.74083,-25.212524,-3.3049793,-52.89753,-3.327186,17.640577,7.7260957,-7.1906114,-7.7034135,0.42406654,4.227625,4.2276244
AF,a,20,IDS,0.3689109951241385,69.25304572213298,-266.67432,112.10864,-16.68052,43.950485,-4.8219023,-17.374266,4.3419523,-6.6457043,0.14163747,-8.819956,-33.224716,-17.562534,-2.0857387,124.9969,124.9969,-34.07908,5.9293084,-30.662376,4.5819273,5.3642807,-2.1001575,-1.0871258,-16.683176,-4.3712893,15.569489,15.569489
AF,u,20,IDS,1.1045122975514214,43.659528824823155,-224.96889,147.99042,-10.808252,22.147438,-5.803623,-7.239502,-19.442863,9.41734,-2.0437257,0.36493695,-23.8579,-10.849046,-6.840347,107.080315,107.080315,-62.92149,2.5023146,-14.69347,-6.81962,8.328422,8.699569,-4.5262017,-10.907087,-5.6069913,8.508777,8.508777
AF,u,20,IDS,1.1045122975514214,43.659528824823155,-237.31786,147.66489,-28.4137,32.69407,-15.268553,-11.086414,-19.128786,7.0687056,-8.989285,-4.6761646,-25.877396,6.778019,-0.8824322,104.45208,104.45208,-57.48541,6.5725737,-21.890242,-1.9301167,9.07756,5.0697503,-5.872435,-8.444056,5.727092,12.497481,12.497481
AF,u,20,IDS,1.1045122975514214,43.659528824823155,-232.18607,147.68486,-37.269737,51.595573,-9.87727,-14.282517,-17.370043,-4.51692,-18.384037,-1.8843725,-15.562006,8.728022,-9.735749,97.45817,97.45817,-48.044643,13.696234,-32.939045,-3.7463865,4.8827987,-0.5069971,1.3162738,1.4110155,5.306197,2.9131284,2.9131284
