spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,dmfcc1,dmfcc2,dmfcc3,dmfcc4,dmfcc5,dmfcc6,dmfcc7,dmfcc8,dmfcc9,dmfcc10,dmfcc11,dmfcc12,dmfcc13
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-448.4454,103.034744,17.749416,72.06792,16.872824,-3.409978,14.48707,1.9422199,-9.542325,-9.1108055,-13.747711,-1.52567,-18.508343,233.09741,233.09741,-15.483414,-0.43829632,-37.73895,-1.1928768,2.6760988,-12.014698,-5.5265126,-2.102693,3.7925677,-2.3803158,-2.3803158
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-460.5998,112.55371,-0.6827812,115.975464,10.597542,-7.7038183,-8.107162,-2.5472167,-18.342571,-13.406837,-15.842987,-1.1367303,-12.115585,229.95851,229.95851,1.7108765,5.6401615,-61.83964,-9.352352,2.578301,-5.1177044,-5.4298105,1.2497921,6.1350536,1.8637009,1.8637009
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-456.49207,110.3078,2.6781874,120.06112,13.424978,-8.047701,-12.715018,-3.9086933,-16.27379,-14.162994,-7.8434167,-5.1246586,-2.776082,229.58513,229.58513,4.8766594,5.3733954,-64.05441,-13.069999,2.0695038,-1.779386,-5.1271505,4.215187,4.519168,2.5336673,2.5336673
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-453.05356,111.43123,0.81770974,106.594406,21.041359,-16.699154,-9.199156,-7.4060135,-16.226875,-13.653656,-8.414985,-8.669241,-3.9286604,226.93564,226.93564,-2.4184113,10.111825,-61.646782,-15.120257,4.64657,-3.5138597,-3.1238213,3.9059453,2.4922075,2.2431622,2.2431622
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-456.12244,111.594315,8.208807,95.88666,26.549292,-21.048656,-9.609816,-4.8069057,-15.153631,-15.007263,-7.113209,-11.540705,-1.0667695,232.16562,232.16562,-7.8538284,9.170242,-58.46766,-18.079554,8.120875,-2.7719078,-5.1001787,4.020211,1.7332792,3.0232196,3.0232196
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-458.378,112.61259,3.8217216,99.28127,24.919773,-13.520456,-17.069891,0.8682811,-20.269802,-10.200255,-9.0724125,-7.7682114,6.273199,231.09985,231.09985,-6.665657,10.549026,-56.400864,-20.994833,7.194369,-1.5999556,-5.5342684,5.598695,1.216022,7.672806,7.672806
FADS101,i,18,ADS,4.241120171472395,66.39399372478749,-463.42648,108.10739,1.2500154,90.07944,25.096138,-3.847909,-16.686909,6.979446,-19.246853,-7.95156,-14.265331,-5.1994944,12.925592,232.33826,232.33826,-9.013977,11.923061,-46.963673,-20.891523,5.413677,-1.2799721,-7.465503,2.4907608,1.3760328,13.595462,13.595462
FADS101,u,18,ADS,5.69,159.99999999999926,-479.41754,137.24513,48.123497,28.447536,5.5400147,-5.8631663,-8.529369,-5.877248,-2.1817753,0.39777523,-3.1682153,-5.8823214,-11.670261,263.7705,263.7705,-54.3988,-21.29174,-17.155352,-7.0346923,-0.007040739,3.1737971,3.1375115,-0.49321997,-3.1400483,-4.2510233,-4.2510233
FADS101,u,18,ADS,5.69,159.99999999999926,-502.35904,192.214,69.120155,10.73406,-11.617151,-19.367252,-12.613561,-2.924006,-2.8382545,-1.984181,-11.804057,-1.914936,-34.213196,285.7396,285.7396,-90.739975,-40.368652,-15.050656,-0.4982047,8.221623,4.8876534,0.46991247,-4.4829016,0.03462255,-11.20457,-11.204569
FADS101,u,18,ADS,5.69,159.99999999999926,-490.0596,195.65552,66.238815,22.45938,-11.48531,-30.329203,-8.295977,-14.221509,-9.384813,-2.9844754,-6.7941494,-0.67148703,-32.379383,278.1492,278.1492,-86.59807,-38.862064,-26.39429,1.5946665,8.053847,-0.54441833,5.618517,1.295332,1.1564941,-12.792617,-12.792617
FADS101,u,18,ADS,5.69,159.99999999999926,-460.52408,169.03601,77.27844,22.810549,-5.9023633,-35.981583,-2.8306808,-19.130962,-9.607933,-0.052029133,-6.645161,-2.6727717,-29.959433,268.90128,268.90128,-73.11273,-41.590405,-29.396067,1.5358412,8.42531,-3.388626,9.539467,1.481386,-1.3103713,-11.657136,-11.657136
FADS101,u,18,ADS,5.69,159.99999999999926,-466.12457,173.84949,73.01276,21.497932,-10.67724,-34.20131,0.3443324,-20.730597,-13.011342,0.70529985,-3.8642755,-6.905673,-28.08911,269.56866,269.56866,-76.17578,-41.844997,-27.84962,5.5107865,6.7353563,-6.6778374,10.717948,4.5735335,-3.8054864,-12.112417,-12.112417
FADS101,u,18,ADS,5.69,159.99999999999926,-485.8972,182.79622,74.29051,25.343601,-18.64896,-40.087196,-2.5172324,-19.756021,-18.755812,4.324016,-5.2528906,-9.161547,-29.114265,280.09384,280.09384,-78.72631,-46.469738,-32.7154,8.065864,10.165587,-8.119289,12.040019,6.7514606,-6.7427816,-11.930688,-11.930687
FADS101,u,18,ADS,5.69,159.99999999999926,-509.37115,188.6857,82.29735,27.743414,-10.941507,-44.346245,1.088851,-18.186344,-12.778803,4.920774,-5.8577785,-8.883825,-29.851679,295.83426,295.83426,-80.471146,-46.619427,-36.04483,6.015179,13.07995,-6.933827,11.553559,3.4605122,-6.9023,-11.99695,-11.99695
FADS101,u,18,ADS,5.69,159.99999999999926,-554.6966,197.81702,95.969284,25.057467,-12.779009,-28.329563,1.6534798,-8.521893,-22.194279,-4.0548606,-3.649767,-4.5465307,-25.883694,325.33295,325.33295,-86.379776,-54.374146,-26.693516,7.216244,9.903835,-11.92388,2.233516,9.272256,-0.24583507,-11.116963,-11.116963
FADS101,u,18,ADS,5.69,159.99999999999926,-588.83374,197.08008,92.43265,18.303356,-4.414415,-24.549244,-8.614716,-7.7548013,-3.6348393,3.2839198,-4.214652,-9.105303,-23.502914,340.63318,340.6332,-89.38836,-48.42353,-21.4263,-2.1001503,8.397222,2.4899383,5.5193605,-0.28990638,-6.1946115,-9.644132,-9.644131
FADS101,u,18,ADS,5.69,159.99999999999926,-593.0365,184.66502,69.17157,27.62989,2.0491438,-10.9012785,-5.207954,-1.8460288,1.3201919,3.7442884,-1.193635,-7.8915424,-15.151889,331.10403,331.10403,-78.51757,-33.561214,-19.265585,-3.6285489,4.527625,3.264073,2.7951586,-1.2569134,-5.8179154,-6.979127,-6.979127
FADS101,u,18,ADS,5.69,159.99999999999926,-579.3083,152.55731,27.350067,21.322245,5.61471,2.3819957,-22.907364,-22.82467,-5.381583,-3.2967818,-11.630575,-7.935279,-16.19733,303.3292,303.3292,-65.61753,-10.867679,-9.470124,-14.261037,-12.603333,8.762891,9.763945,-3.124496,-2.3192487,-2.2833776,-2.2833776
FADS101,u,18,ADS,5.69,159.99999999999926,-567.3087,138.24344,21.664799,30.38702,11.290572,12.45952,-5.8677053,-16.872509,8.179032,0.0016350746,-15.802128,4.503438,-0.36004525,294.48676,294.48676,-53.92821,-5.1871133,-8.96375,-8.579139,-14.666015,7.023369,8.437072,-11.990581,2.2509015,7.721041,7.721041
FADS101,u,18,ADS,5.69,159.99999999999926,-595.1331,150.47438,17.351456,23.680191,8.675272,5.5813236,2.4677498,-13.086414,-5.0319767,0.2889524,-1.4400964,7.4977956,1.9126774,306.24228,306.24228,-63.397095,-4.338092,-9.049434,-3.1037612,-9.333869,-3.7498634,6.6876836,1.7959402,3.6044216,1.676387,1.676387
FADS101,u,18,ADS,5.69,159.99999999999926,-642.5822,137.42592,50.072998,21.656816,-2.7960196,-7.698186,-6.4167595,2.058926,2.3469932,14.170515,11.178177,4.7497745,7.82363,346.3276,346.3276,-57.884552,-26.43451,-14.677502,-1.81037,4.8785563,4.3818765,6.0557947,4.4155917,-4.7103705,-1.6772735,-1.6772735
FADS101,u,18,ADS,5.69,159.99999999999926,-638.12994,127.24853,41.80847,28.058992,4.1891346,-4.7329082,-9.904234,-1.4750205,-15.8220215,6.8527627,18.393883,12.150766,4.2296643,339.9692,339.9692,-49.59477,-18.80967,-16.39595,-7.0466843,1.6289439,-2.9588938,4.163892,17.107952,2.6490018,-7.0821095,-7.0821095
FADS101,u,18,ADS,5.69,159.99999999999926,-650.5834,123.011314,46.18544,15.831637,-4.0528536,-5.308043,-15.753843,-6.057875,-3.4990332,-2.4793355,6.35828,8.2746315,2.4079223,348.3844,348.3844,-53.58984,-25.119146,-10.56984,-5.850495,-0.37491608,6.127405,1.7892698,4.9286566,5.3769836,-1.975179,-1.975179
FADS101,u,18,ADS,5.69,159.99999999999926,-644.4277,107.52807,36.208405,22.140274,7.9642153,-1.1989853,-14.613442,1.7183586,4.9525857,10.138707,3.7935414,8.124332,1.7833557,340.31805,340.31805,-42.693897,-14.122095,-11.66963,-11.288829,1.4586719,9.783014,4.210174,-0.57952213,-1.0071874,-1.0050929,-1.0050929
FADS101,u,18,ADS,6.697327169455356,87.9720416853429,-452.33005,121.8226,30.470318,17.591187,6.3144727,1.2419908,-7.0194893,-8.355066,-14.128771,-12.919348,-1.078018,1.3289146,1.4004095,241.40018,241.40018,-52.115707,-12.077923,-8.174598,-6.666981,-4.7985287,-3.5546408,-2.2821407,6.5253763,7.124131,1.2392137,1.2392137
FADS101,u,18,ADS,6.697327169455356,87.9720416853429,-521.6534,186.68883,48.207706,9.247195,-10.169538,-17.786308,8.364472,-5.541358,-8.356415,-18.968637,-17.715889,-8.30295,-15.878761,284.93054,284.93054,-88.72082,-29.188622,-13.516752,9.267005,6.122475,-8.360444,-6.7136397,-4.679737,5.332844,0.91856384,0.91856384
FADS101,u,18,ADS,6.697327169455356,87.9720416853429,-556.9901,188.4273,66.68828,11.805237,-9.600976,-20.11526,3.1419787,4.659943,-5.2148333,-2.393527,-5.537548,-15.515379,-25.701408,311.8392,311.8392,-88.311035,-38.144627,-15.960248,6.3714776,12.387601,-4.1784062,-3.526735,-0.1613574,-6.560926,-10.08193,-10.08193
FADS101,u,18,ADS,6.697327169455356,87.9720416853429,-578.1228,196.30615,73.76485,10.362163,-7.916988,-17.822811,-7.4877734,4.174667,-6.7898993,-3.8412344,-4.2739406,-9.573431,-22.178381,325.94382,325.94382,-92.97199,-40.840916,-14.092487,0.21460724,10.998739,0.34893703,-4.007951,1.2579794,-2.8660984,-8.95222,-8.95222
FADS101,u,18,ADS,6.697327169455356,87.9720416853429,-583.44775,206.03894,69.72533,24.813286,-16.467167,-19.166332,-9.075308,2.1825728,0.71886325,-4.3355,2.6540573,-4.057849,-25.680832,326.58655,326.58655,-90.61283,-43.09625,-21.989809,3.6959295,10.674453,4.8970857,-3.2590363,0.967597,0.13882542,-14.167444,-14.167444
