spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,dmfcc1,dmfcc2,dmfcc3,dmfcc4,dmfcc5,dmfcc6,dmfcc7,dmfcc8,dmfcc9,dmfcc10,dmfcc11,dmfcc12,dmfcc13
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-430.92474,96.09972,27.706982,31.63403,6.8530254,-3.2159343,-1.0105909,-2.3785272,-19.26295,-14.719545,-2.6892185,-8.594182,-12.139229,229.31586,229.31586,-32.232845,-10.426978,-17.424982,-3.9318082,0.41870356,-9.12618,-6.1705093,8.286866,3.0626817,-4.725005,-4.725005
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-524.69336,127.21855,45.884407,80.17288,28.559181,3.640709,-0.69670016,7.6939383,-20.947895,-33.687393,-9.832136,-7.3990345,0.9084637,285.28888,285.28888,-23.522835,-8.662613,-38.266087,-14.627941,2.0266147,-10.125597,-20.690666,5.5578794,13.144179,5.3703,5.3703
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-524.28,138.1796,47.30664,81.46186,28.087017,-6.8249807,1.341613,10.521973,-29.89354,-17.768059,-2.6890085,-18.32323,10.037022,285.79333,285.79333,-28.358868,-9.609812,-44.14342,-13.372702,8.673477,-15.617577,-14.145016,13.602265,-0.27758598,6.363015,6.363015
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-519.0811,126.37185,54.92685,84.45029,26.95183,-14.355973,6.564913,7.123396,-32.687843,-11.934702,-12.782551,-5.45307,1.318187,287.004,287.004,-20.960781,-13.98751,-49.40313,-10.193459,10.739685,-19.626379,-9.529049,9.952646,3.2408159,7.050369,7.050369
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-511.94293,129.83813,50.8409,69.30893,32.52921,-10.926349,7.9541593,12.59595,-36.825386,-13.579051,-10.704676,-12.991853,11.5889635,281.3919,281.3919,-30.264603,-9.155846,-40.117638,-12.287525,11.761149,-22.389772,-13.087501,13.060355,0.29359913,11.14682,11.146819
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-522.3601,125.21808,65.432945,67.889725,34.132835,1.4222344,-1.359611,6.1064453,-27.439726,-21.262985,-2.4259377,-21.266567,12.037949,293.8965,293.8965,-28.664177,-15.650055,-33.233746,-17.746223,2.3421054,-13.040057,-13.684715,12.506894,-0.0017910004,7.231943,7.231943
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-515.4579,119.97827,62.02594,70.96289,36.166573,-11.62372,2.1303356,11.60777,-26.118427,-19.059374,-16.293684,-13.323599,9.962448,288.7419,288.7419,-24.50769,-12.929684,-41.293304,-17.018118,11.615746,-14.124381,-15.333572,4.9123716,2.8678875,13.128066,13.128066
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-543.07434,121.41239,66.6208,64.9169,38.779274,0.44167036,-3.8097568,7.0747905,-29.242062,-17.24054,-0.75263757,-10.510437,3.7518885,304.84756,304.84756,-28.247746,-13.920761,-32.237614,-21.294516,3.31656,-12.716152,-12.157665,14.244712,3.3650513,2.252263,2.252263
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-514.464,89.49514,53.75283,55.894722,36.40235,10.369175,1.653838,13.375587,-12.865116,-16.80478,-10.269644,-8.336193,2.0090678,284.1084,284.1084,-16.800209,-8.67524,-22.762774,-17.374256,1.5032063,-7.259477,-15.090183,1.2977362,4.234293,6.1393557,6.1393557
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-522.1079,144.40298,53.324047,34.919464,11.451303,0.40401298,-4.1407347,-3.9517078,-0.8169875,-5.96375,-7.152708,-8.387524,-6.330186,287.71597,287.71597,-54.74176,-20.936373,-17.257725,-7.7960186,-2.1778605,1.6618736,-1.006021,-3.1678603,-1.2118869,0.41126108,0.41126108
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-572.93274,186.72766,98.87812,19.268764,-1.849248,-2.9892151,-6.735359,8.431274,-3.6900403,-20.961838,-9.2750225,-10.216816,-18.09203,335.90543,335.90543,-83.72945,-50.363686,-11.12899,-2.4430556,5.7102447,1.5226594,-14.696556,-2.7924912,5.372511,-4.4085035,-4.4085035
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-525.54193,196.0231,88.76616,5.667018,-13.168314,-2.938458,-0.21060699,14.430294,-20.000889,-21.480015,-1.9057858,-4.355672,-28.397816,307.15405,307.15405,-95.17804,-50.967236,-4.302738,6.4788537,8.684376,-9.895141,-17.955154,9.047551,8.562172,-13.246015,-13.246015
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-546.49994,197.31982,90.437874,22.56152,-4.6215477,-5.8384123,-3.3386734,6.197909,-12.939119,-13.9331665,-5.0585814,-14.909966,-21.823952,318.4689,318.4689,-87.37915,-47.529713,-14.199966,0.6414372,6.018161,-4.800223,-10.065537,3.940269,-0.48839998,-8.382686,-8.382685
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-505.668,190.62746,86.27528,22.93409,-13.176307,-13.823557,-3.119956,3.7332451,-8.702377,-17.475338,0.83478177,0.06921166,-28.156492,295.97165,295.97165,-83.84669,-49.725796,-18.378824,5.0281754,8.778401,-2.7912107,-10.604292,4.7685795,8.772275,-14.495637,-14.495637
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-504.13794,187.93365,87.11107,23.278324,-12.542273,-19.612957,-2.823526,-5.218776,-5.6166067,-18.818447,0.38146913,4.439587,-24.638065,295.6245,295.6245,-82.32767,-49.82667,-21.44564,4.859373,7.1970906,-1.3965404,-6.7998357,2.999038,11.629017,-12.509768,-12.509768
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-502.89883,181.67532,81.62305,23.974884,-14.351382,-16.512016,-0.2131745,-7.1662245,-8.377222,-13.508755,3.830984,0.8314278,-21.866974,292.26096,292.26096,-78.85022,-47.987213,-20.24345,7.0691037,4.672896,-4.0820236,-3.1712651,6.104103,7.170091,-12.848979,-12.848979
